PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;388;Enkhuizen;1504;Zaanstad;04YU;00;RK Basissch De Hoeksteen;1602RW;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;388;Enkhuizen;1601;Enkhuizen;04YU;00;RK Basissch De Hoeksteen;1602RW;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;3;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;388;Enkhuizen;1602;Enkhuizen;04YU;00;RK Basissch De Hoeksteen;1602RW;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;34;35;35;33;35;35;29;17;6;0;0;0;0;0;0;0;0;0;0;0;0;0;259
20171001;388;Enkhuizen;1619;Medemblik;04YU;00;RK Basissch De Hoeksteen;1602RW;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;388;Enkhuizen;1648;Koggenland;04YU;00;RK Basissch De Hoeksteen;1602RW;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;388;Enkhuizen;1601;Enkhuizen;07QF;00;Basisschool Pancratius;1601GL;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;27;28;29;26;28;29;40;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;235
20171001;388;Enkhuizen;1602;Enkhuizen;07QF;00;Basisschool Pancratius;1601GL;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;2;4;6;0;7;2;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;388;Enkhuizen;1613;Stede Broec;07QF;00;Basisschool Pancratius;1601GL;ENKHUIZEN;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;388;Enkhuizen;1601;Enkhuizen;10FH;00;PC Basisschool Enkhuizen;1602KG;ENKHUIZEN;Noord-Holland;Bo;Protestants-Christelijk;79874;0;8;5;3;5;10;10;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;388;Enkhuizen;1602;Enkhuizen;10FH;00;PC Basisschool Enkhuizen;1602KG;ENKHUIZEN;Noord-Holland;Bo;Protestants-Christelijk;79874;0;26;36;40;37;46;40;32;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;285
20171001;388;Enkhuizen;1161;Haarlemmermeer;11HU;00;Obs De Tweemaster;1601RH;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;388;Enkhuizen;1601;Enkhuizen;11HU;00;Obs De Tweemaster;1601RH;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;8;14;7;11;13;10;13;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;91
20171001;388;Enkhuizen;1602;Enkhuizen;11HU;00;Obs De Tweemaster;1601RH;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;2;3;6;5;5;4;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;388;Enkhuizen;1611;Stede Broec;11HU;00;Obs De Tweemaster;1601RH;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;388;Enkhuizen;1613;Stede Broec;11HU;00;Obs De Tweemaster;1601RH;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;388;Enkhuizen;1448;Purmerend;12MQ;00;Obs Het Driespan;1602LR;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;388;Enkhuizen;1601;Enkhuizen;12MQ;00;Obs Het Driespan;1602LR;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;0;1;1;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;388;Enkhuizen;1602;Enkhuizen;12MQ;00;Obs Het Driespan;1602LR;ENKHUIZEN;Noord-Holland;Bo;Openbaar;13662;0;43;42;42;43;42;60;43;49;10;0;0;0;0;0;0;0;0;0;0;0;0;0;374
