PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;232;Epe;7396;Voorst;01AJ;02;Dr A Verschoor School;8162BB;EPE;Gelderland;So;Algemeen bijzonder;62129;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;8161;Epe;01AJ;02;Dr A Verschoor School;8162BB;EPE;Gelderland;So;Algemeen bijzonder;62129;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;232;Epe;8162;Epe;01AJ;02;Dr A Verschoor School;8162BB;EPE;Gelderland;So;Algemeen bijzonder;62129;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;232;Epe;8171;Epe;01AJ;02;Dr A Verschoor School;8162BB;EPE;Gelderland;So;Algemeen bijzonder;62129;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;8172;Epe;01AJ;02;Dr A Verschoor School;8162BB;EPE;Gelderland;So;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;7316;Apeldoorn;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;232;Epe;7323;Apeldoorn;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;232;Epe;7324;Apeldoorn;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;232;Epe;7325;Apeldoorn;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;232;Epe;7345;Apeldoorn;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;4;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;232;Epe;8166;Epe;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;8167;Epe;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;8171;Epe;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;11;14;11;16;14;9;12;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;96
20171001;232;Epe;8172;Epe;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;1;1;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;232;Epe;8181;Heerde;03JI;00;Rk Basisschool G Majella;8171KC;VAASSEN;Gelderland;Bo;Rooms-Katholiek;76806;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;232;Epe;7417;Deventer;04NV;00;K Norel-School;8162JA;EPE;Gelderland;Bo;Protestants-Christelijk;41736;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;8014;Zwolle;04NV;00;K Norel-School;8162JA;EPE;Gelderland;Bo;Protestants-Christelijk;41736;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;8161;Epe;04NV;00;K Norel-School;8162JA;EPE;Gelderland;Bo;Protestants-Christelijk;41736;0;0;1;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;232;Epe;8162;Epe;04NV;00;K Norel-School;8162JA;EPE;Gelderland;Bo;Protestants-Christelijk;41736;0;9;17;8;19;10;17;18;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;114
20171001;232;Epe;8166;Epe;04NV;00;K Norel-School;8162JA;EPE;Gelderland;Bo;Protestants-Christelijk;41736;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;232;Epe;8167;Epe;04NV;00;K Norel-School;8162JA;EPE;Gelderland;Bo;Protestants-Christelijk;41736;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
