PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;233;Ermelo;3842;Harderwijk;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;233;Ermelo;3845;Harderwijk;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;0;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;233;Ermelo;3851;Ermelo;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;5;16;10;5;9;9;7;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;77
20171001;233;Ermelo;3852;Ermelo;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;3;1;2;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;233;Ermelo;3853;Ermelo;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;7;8;6;7;4;5;7;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;233;Ermelo;3881;Putten;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;2;2;3;5;3;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;233;Ermelo;3882;Putten;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;4;6;9;9;4;7;8;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;233;Ermelo;7692;Hardenberg;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;8075;Nunspeet;00HA;00;Ref Basissch Augustinus;3851BH;ERMELO;Gelderland;Bo;Reformatorisch;30128;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;233;Ermelo;3842;Harderwijk;04OL;00;Goede Herderschool v Bo;3853LN;ERMELO;Gelderland;Bo;Protestants-Christelijk;34893;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3845;Harderwijk;04OL;00;Goede Herderschool v Bo;3853LN;ERMELO;Gelderland;Bo;Protestants-Christelijk;34893;0;1;1;1;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;233;Ermelo;3851;Ermelo;04OL;00;Goede Herderschool v Bo;3853LN;ERMELO;Gelderland;Bo;Protestants-Christelijk;34893;0;5;3;3;2;5;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;233;Ermelo;3852;Ermelo;04OL;00;Goede Herderschool v Bo;3853LN;ERMELO;Gelderland;Bo;Protestants-Christelijk;34893;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;233;Ermelo;3853;Ermelo;04OL;00;Goede Herderschool v Bo;3853LN;ERMELO;Gelderland;Bo;Protestants-Christelijk;34893;0;21;19;20;27;19;17;18;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161
20171001;233;Ermelo;3882;Putten;04OL;00;Goede Herderschool v Bo;3853LN;ERMELO;Gelderland;Bo;Protestants-Christelijk;34893;0;2;0;1;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;233;Ermelo;8076;Nunspeet;04OL;00;Goede Herderschool v Bo;3853LN;ERMELO;Gelderland;Bo;Protestants-Christelijk;34893;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3851;Ermelo;06FR;00;Speulderbrink;3852NH;ERMELO;Gelderland;Bo;Reformatorisch;27237;0;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;233;Ermelo;3852;Ermelo;06FR;00;Speulderbrink;3852NH;ERMELO;Gelderland;Bo;Reformatorisch;27237;0;8;3;7;4;9;5;7;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;52
20171001;233;Ermelo;3853;Ermelo;06FR;00;Speulderbrink;3852NH;ERMELO;Gelderland;Bo;Reformatorisch;27237;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3881;Putten;06FR;00;Speulderbrink;3852NH;ERMELO;Gelderland;Bo;Reformatorisch;27237;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;233;Ermelo;8075;Nunspeet;06FR;00;Speulderbrink;3852NH;ERMELO;Gelderland;Bo;Reformatorisch;27237;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;233;Ermelo;3844;Harderwijk;06LG;00;Prins W Alexander-School;3851ZV;ERMELO;Gelderland;Bo;Rooms-Katholiek;40888;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;233;Ermelo;3851;Ermelo;06LG;00;Prins W Alexander-School;3851ZV;ERMELO;Gelderland;Bo;Rooms-Katholiek;40888;0;5;7;10;7;6;4;11;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20171001;233;Ermelo;3852;Ermelo;06LG;00;Prins W Alexander-School;3851ZV;ERMELO;Gelderland;Bo;Rooms-Katholiek;40888;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;233;Ermelo;3853;Ermelo;06LG;00;Prins W Alexander-School;3851ZV;ERMELO;Gelderland;Bo;Rooms-Katholiek;40888;0;3;1;3;1;2;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;233;Ermelo;8052;Hattem;06LG;00;Prins W Alexander-School;3851ZV;ERMELO;Gelderland;Bo;Rooms-Katholiek;40888;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;  30;ander land;11VA;00;Basisschool Arendshorst;3853CA;ERMELO;Gelderland;Bo;Openbaar;41345;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3843;Harderwijk;11VA;00;Basisschool Arendshorst;3853CA;ERMELO;Gelderland;Bo;Openbaar;41345;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3851;Ermelo;11VA;00;Basisschool Arendshorst;3853CA;ERMELO;Gelderland;Bo;Openbaar;41345;0;1;2;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;233;Ermelo;3853;Ermelo;11VA;00;Basisschool Arendshorst;3853CA;ERMELO;Gelderland;Bo;Openbaar;41345;0;8;7;8;11;5;6;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20171001;233;Ermelo;3842;Harderwijk;12VQ;00;Basisschool de Cantharel;3852ZX;ERMELO;Gelderland;Bo;Openbaar;41345;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3844;Harderwijk;12VQ;00;Basisschool de Cantharel;3852ZX;ERMELO;Gelderland;Bo;Openbaar;41345;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3845;Harderwijk;12VQ;00;Basisschool de Cantharel;3852ZX;ERMELO;Gelderland;Bo;Openbaar;41345;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;233;Ermelo;3851;Ermelo;12VQ;00;Basisschool de Cantharel;3852ZX;ERMELO;Gelderland;Bo;Openbaar;41345;0;9;9;8;9;6;4;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;233;Ermelo;3852;Ermelo;12VQ;00;Basisschool de Cantharel;3852ZX;ERMELO;Gelderland;Bo;Openbaar;41345;0;9;13;8;5;13;12;15;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;87
