PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;777;Etten-Leur;4711;Rucphen;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;777;Etten-Leur;4715;Rucphen;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;777;Etten-Leur;4741;Halderberge;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;777;Etten-Leur;4814;Breda;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;777;Etten-Leur;4823;Breda;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;777;Etten-Leur;4871;Etten-Leur;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;2;1;0;2;2;3;4;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;777;Etten-Leur;4872;Etten-Leur;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;3;3;4;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;777;Etten-Leur;4873;Etten-Leur;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;1;4;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;777;Etten-Leur;4874;Etten-Leur;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;777;Etten-Leur;4875;Etten-Leur;00VD;00;RK SSBO Het Kompas;4871XA;ETTEN-LEUR;Noord-Brabant;Sbo;Rooms-Katholiek;55303;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
