PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1722;Ferwerderadiel;9107;Ferwerderadiel;04JG;00;Chr BS de Flieterpen;9175GH;REITSUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;3;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1722;Ferwerderadiel;9174;Ferwerderadiel;04JG;00;Chr BS de Flieterpen;9175GH;REITSUM;Friesland;Bo;Protestants-Christelijk;40789;0;1;1;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1722;Ferwerderadiel;9175;Ferwerderadiel;04JG;00;Chr BS de Flieterpen;9175GH;REITSUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;1;0;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1722;Ferwerderadiel;9176;Ferwerderadiel;04JG;00;Chr BS de Flieterpen;9175GH;REITSUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;1;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1722;Ferwerderadiel;9177;Ferwerderadiel;04JG;00;Chr BS de Flieterpen;9175GH;REITSUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1722;Ferwerderadiel;9053;Leeuwarderadeel;05OU;00;Chr BS It Fundamint;9074AK;HALLUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1722;Ferwerderadiel;9054;Leeuwarderadeel;05OU;00;Chr BS It Fundamint;9074AK;HALLUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1722;Ferwerderadiel;9071;Leeuwarderadeel;05OU;00;Chr BS It Fundamint;9074AK;HALLUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1722;Ferwerderadiel;9073;Ferwerderadiel;05OU;00;Chr BS It Fundamint;9074AK;HALLUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1722;Ferwerderadiel;9074;Ferwerderadiel;05OU;00;Chr BS It Fundamint;9074AK;HALLUM;Friesland;Bo;Protestants-Christelijk;40789;0;29;30;33;27;34;22;22;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;230
20171001;1722;Ferwerderadiel;9078;het Bildt;05OU;00;Chr BS It Fundamint;9074AK;HALLUM;Friesland;Bo;Protestants-Christelijk;40789;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1722;Ferwerderadiel;9171;Ferwerderadiel;06QO;00;Basisschool De Ikker;9171LM;BLIJE;Friesland;Bo;Protestants-Christelijk;40789;0;10;8;6;10;10;5;10;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;1722;Ferwerderadiel;9153;Dongeradeel;07ME;00;Chr BS Op Streek;9172NJ;FERWERT;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1722;Ferwerderadiel;9172;Ferwerderadiel;07ME;00;Chr BS Op Streek;9172NJ;FERWERT;Friesland;Bo;Protestants-Christelijk;40789;0;11;15;9;10;14;12;12;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;92
20171001;1722;Ferwerderadiel;9173;Ferwerderadiel;07ME;00;Chr BS Op Streek;9172NJ;FERWERT;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1722;Ferwerderadiel;9111;Ferwerderadiel;08BI;00;De Welle;9111HH;BURDAARD;Friesland;Bo;Protestants-Christelijk;40789;0;12;5;6;9;5;7;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
20171001;1722;Ferwerderadiel;9112;Ferwerderadiel;08BI;00;De Welle;9111HH;BURDAARD;Friesland;Bo;Protestants-Christelijk;40789;0;4;10;9;1;7;7;5;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;55
20171001;1722;Ferwerderadiel;9177;Ferwerderadiel;08BI;00;De Welle;9111HH;BURDAARD;Friesland;Bo;Protestants-Christelijk;40789;0;2;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1722;Ferwerderadiel;9178;Ferwerderadiel;08BI;00;De Welle;9111HH;BURDAARD;Friesland;Bo;Protestants-Christelijk;40789;0;1;3;1;0;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;1722;Ferwerderadiel;9051;Leeuwarderadeel;08LZ;00;Chr BS Aasterage;9073HH;MARRUM;Friesland;Bo;Protestants-Christelijk;40789;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
