PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;70;Franekeradeel;8751;S∑dwest-Frysl‘n;04KZ;00;Cbs It Iepen Finster;8806KT;ACHLUM;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;70;Franekeradeel;8805;Franekeradeel;04KZ;00;Cbs It Iepen Finster;8806KT;ACHLUM;Friesland;Bo;Protestants-Christelijk;42656;0;1;0;0;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;70;Franekeradeel;8806;Franekeradeel;04KZ;00;Cbs It Iepen Finster;8806KT;ACHLUM;Friesland;Bo;Protestants-Christelijk;42656;0;3;7;8;11;6;7;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;70;Franekeradeel;8821;S∑dwest-Frysl‘n;04KZ;00;Cbs It Iepen Finster;8806KT;ACHLUM;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;70;Franekeradeel;8862;Harlingen;04KZ;00;Cbs It Iepen Finster;8806KT;ACHLUM;Friesland;Bo;Protestants-Christelijk;42656;0;1;3;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;70;Franekeradeel;8801;Franekeradeel;05LC;00;De Korendrager;8801KJ;FRANEKER;Friesland;Bo;Protestants-Christelijk;42656;0;16;10;10;10;11;11;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88
20171001;70;Franekeradeel;8802;Franekeradeel;05LC;00;De Korendrager;8801KJ;FRANEKER;Friesland;Bo;Protestants-Christelijk;42656;0;7;6;10;13;16;10;14;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;93
20171001;70;Franekeradeel;8808;Franekeradeel;05LC;00;De Korendrager;8801KJ;FRANEKER;Friesland;Bo;Protestants-Christelijk;42656;0;1;1;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;70;Franekeradeel;8813;Franekeradeel;05LC;00;De Korendrager;8801KJ;FRANEKER;Friesland;Bo;Protestants-Christelijk;42656;0;0;3;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;70;Franekeradeel;8814;Franekeradeel;05LC;00;De Korendrager;8801KJ;FRANEKER;Friesland;Bo;Protestants-Christelijk;42656;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;70;Franekeradeel;8851;Franekeradeel;05RR;00;Chr NAT BS De Flambou;8854AN;OOSTERBIERUM;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;70;Franekeradeel;8853;Franekeradeel;05RR;00;Chr NAT BS De Flambou;8854AN;OOSTERBIERUM;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;70;Franekeradeel;8854;Franekeradeel;05RR;00;Chr NAT BS De Flambou;8854AN;OOSTERBIERUM;Friesland;Bo;Protestants-Christelijk;42656;0;3;4;3;9;4;4;6;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20171001;70;Franekeradeel;8855;Franekeradeel;05RR;00;Chr NAT BS De Flambou;8854AN;OOSTERBIERUM;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;70;Franekeradeel;8851;Franekeradeel;06RK;00;Basisschool De Schalmei;8851EB;TZUMMARUM;Friesland;Bo;Protestants-Christelijk;42656;0;6;9;7;6;3;10;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
20171001;70;Franekeradeel;8854;Franekeradeel;06RK;00;Basisschool De Schalmei;8851EB;TZUMMARUM;Friesland;Bo;Protestants-Christelijk;42656;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;70;Franekeradeel;8801;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;26;23;27;29;14;18;15;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;172
20171001;70;Franekeradeel;8802;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;8;4;4;10;8;6;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
20171001;70;Franekeradeel;8804;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;70;Franekeradeel;8805;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;70;Franekeradeel;8807;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;1;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;70;Franekeradeel;8808;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;70;Franekeradeel;8809;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;70;Franekeradeel;8811;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;70;Franekeradeel;8812;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;70;Franekeradeel;8813;Franekeradeel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;70;Franekeradeel;8816;Menameradiel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;70;Franekeradeel;8841;Littenseradiel;06RQ;00;RK Basisschool De Kabas;8801VW;FRANEKER;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
