PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;779;Geertruidenberg;4765;Moerdijk;03SB;00;Basisschool De Hoge Waai;4944XB;RAAMSDONK;Noord-Brabant;Bo;Rooms-Katholiek;43825;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;779;Geertruidenberg;4931;Geertruidenberg;03SB;00;Basisschool De Hoge Waai;4944XB;RAAMSDONK;Noord-Brabant;Bo;Rooms-Katholiek;43825;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;4941;Geertruidenberg;03SB;00;Basisschool De Hoge Waai;4944XB;RAAMSDONK;Noord-Brabant;Bo;Rooms-Katholiek;43825;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;779;Geertruidenberg;4944;Geertruidenberg;03SB;00;Basisschool De Hoge Waai;4944XB;RAAMSDONK;Noord-Brabant;Bo;Rooms-Katholiek;43825;0;15;11;25;22;19;22;23;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;156
20171001;779;Geertruidenberg;5165;Waalwijk;03SB;00;Basisschool De Hoge Waai;4944XB;RAAMSDONK;Noord-Brabant;Bo;Rooms-Katholiek;43825;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;4908;Oosterhout;04WT;00;Basisschool De Vuurvlinder;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;4931;Geertruidenberg;04WT;00;Basisschool De Vuurvlinder;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;29;26;18;24;31;25;32;19;3;0;0;0;0;0;0;0;0;0;0;0;0;0;207
20171001;779;Geertruidenberg;4941;Geertruidenberg;04WT;00;Basisschool De Vuurvlinder;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;2;2;2;0;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;779;Geertruidenberg;4942;Geertruidenberg;04WT;00;Basisschool De Vuurvlinder;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;1;1;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;779;Geertruidenberg;4944;Geertruidenberg;04WT;00;Basisschool De Vuurvlinder;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;  10;Belgie;05OM;01;PC Basissch De Wegwijzer;4942BC;RAAMSDONKSVEER;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;4924;Drimmelen;05OM;01;PC Basissch De Wegwijzer;4942BC;RAAMSDONKSVEER;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;4931;Geertruidenberg;05OM;01;PC Basissch De Wegwijzer;4942BC;RAAMSDONKSVEER;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;779;Geertruidenberg;4941;Geertruidenberg;05OM;01;PC Basissch De Wegwijzer;4942BC;RAAMSDONKSVEER;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;10;9;9;7;4;7;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;779;Geertruidenberg;4942;Geertruidenberg;05OM;01;PC Basissch De Wegwijzer;4942BC;RAAMSDONKSVEER;Noord-Brabant;Bo;Protestants-Christelijk;41001;0;10;7;10;4;6;7;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;57
20171001;779;Geertruidenberg;4761;Moerdijk;06EH;00;Basisschool De Biekorf;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Algemeen bijzonder;41978;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;4855;Alphen-Chaam;06EH;00;Basisschool De Biekorf;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Algemeen bijzonder;41978;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;779;Geertruidenberg;4931;Geertruidenberg;06EH;00;Basisschool De Biekorf;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Algemeen bijzonder;41978;0;31;55;36;55;40;32;31;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;308
20171001;779;Geertruidenberg;4941;Geertruidenberg;06EH;00;Basisschool De Biekorf;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Algemeen bijzonder;41978;0;4;7;4;2;6;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;779;Geertruidenberg;4942;Geertruidenberg;06EH;00;Basisschool De Biekorf;4931BD;GEERTRUIDENBERG;Noord-Brabant;Bo;Algemeen bijzonder;41978;0;1;1;2;1;6;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;779;Geertruidenberg;4941;Geertruidenberg;08SY;01;Basisschool De Radonkel;4942AV;RAAMSDONKSVEER;Noord-Brabant;Bo;Openbaar;41435;0;2;1;5;2;2;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;779;Geertruidenberg;4942;Geertruidenberg;08SY;01;Basisschool De Radonkel;4942AV;RAAMSDONKSVEER;Noord-Brabant;Bo;Openbaar;41435;0;8;6;6;4;6;6;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20171001;779;Geertruidenberg;4921;Drimmelen;15BV;00;RK BS de Vonder;4941AC;RAAMSDONKSVEER;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;779;Geertruidenberg;4931;Geertruidenberg;15BV;00;RK BS de Vonder;4941AC;RAAMSDONKSVEER;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;779;Geertruidenberg;4941;Geertruidenberg;15BV;00;RK BS de Vonder;4941AC;RAAMSDONKSVEER;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;23;21;16;26;21;27;18;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;180
20171001;779;Geertruidenberg;4942;Geertruidenberg;15BV;00;RK BS de Vonder;4941AC;RAAMSDONKSVEER;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;8;6;7;4;4;5;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;45
20171001;779;Geertruidenberg;4944;Geertruidenberg;15BV;00;RK BS de Vonder;4941AC;RAAMSDONKSVEER;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;779;Geertruidenberg;5165;Waalwijk;15BV;00;RK BS de Vonder;4941AC;RAAMSDONKSVEER;Noord-Brabant;Bo;Rooms-Katholiek;41978;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
