PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;236;Geldermalsen;3998;Houten;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;236;Geldermalsen;4001;Tiel;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;236;Geldermalsen;4007;Tiel;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;236;Geldermalsen;4011;Buren;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;1;1;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;236;Geldermalsen;4014;Tiel;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;2;1;5;1;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;236;Geldermalsen;4016;Buren;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;236;Geldermalsen;4024;Buren;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;236;Geldermalsen;4033;Buren;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;236;Geldermalsen;4061;Neerijnen;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;1;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;236;Geldermalsen;4101;Culemborg;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;236;Geldermalsen;4102;Culemborg;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;236;Geldermalsen;4103;Culemborg;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;236;Geldermalsen;4105;Culemborg;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;1;2;1;1;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;236;Geldermalsen;4112;Buren;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;236;Geldermalsen;4115;Buren;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;236;Geldermalsen;4116;Buren;04QV;00;Rehobothschool;4191KZ;GELDERMALSEN;Gelderland;Bo;Reformatorisch;38559;0;2;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
