PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1771;Geldrop-Mierlo;5664;Geldrop-Mierlo;03SK;00;Basisschool De Branding;5665VS;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1771;Geldrop-Mierlo;5665;Geldrop-Mierlo;03SK;00;Basisschool De Branding;5665VS;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;8;12;22;12;9;16;15;17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;115
20171001;1771;Geldrop-Mierlo;5666;Geldrop-Mierlo;03SK;00;Basisschool De Branding;5665VS;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;4;4;3;3;3;4;8;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;1771;Geldrop-Mierlo;5667;Geldrop-Mierlo;03SK;00;Basisschool De Branding;5665VS;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1771;Geldrop-Mierlo;5674;Nuenen, Gerwen en Nederwetten;03SK;00;Basisschool De Branding;5665VS;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1771;Geldrop-Mierlo;5641;Eindhoven;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1771;Geldrop-Mierlo;5642;Eindhoven;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1771;Geldrop-Mierlo;5643;Eindhoven;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1771;Geldrop-Mierlo;5644;Eindhoven;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1771;Geldrop-Mierlo;5645;Eindhoven;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;2;0;2;2;2;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;1771;Geldrop-Mierlo;5661;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;1;1;0;1;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1771;Geldrop-Mierlo;5662;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;1;1;2;3;0;4;7;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;1771;Geldrop-Mierlo;5663;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;26;36;37;27;35;36;28;28;4;0;0;0;0;0;0;0;0;0;0;0;0;0;257
20171001;1771;Geldrop-Mierlo;5664;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;13;11;7;5;3;3;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55
20171001;1771;Geldrop-Mierlo;5665;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;2;0;0;3;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1771;Geldrop-Mierlo;5666;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;2;3;2;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;1771;Geldrop-Mierlo;5667;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;2;1;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1771;Geldrop-Mierlo;5672;Nuenen, Gerwen en Nederwetten;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1771;Geldrop-Mierlo;5673;Nuenen, Gerwen en Nederwetten;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1771;Geldrop-Mierlo;5731;Geldrop-Mierlo;04JV;00;Basissch St Jozef;5663AH;GELDROP;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
