PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;689;Giessenlanden;4204;Gorinchem;01VY;00;Basissch De Lingewaard;4241CA;ARKEL;Zuid-Holland;Bo;Openbaar;41638;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;689;Giessenlanden;4206;Gorinchem;01VY;00;Basissch De Lingewaard;4241CA;ARKEL;Zuid-Holland;Bo;Openbaar;41638;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;689;Giessenlanden;4221;Giessenlanden;01VY;00;Basissch De Lingewaard;4241CA;ARKEL;Zuid-Holland;Bo;Openbaar;41638;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;689;Giessenlanden;4241;Giessenlanden;01VY;00;Basissch De Lingewaard;4241CA;ARKEL;Zuid-Holland;Bo;Openbaar;41638;0;24;32;38;26;34;22;24;28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;230
20171001;689;Giessenlanden;4247;Leerdam;01VY;00;Basissch De Lingewaard;4241CA;ARKEL;Zuid-Holland;Bo;Openbaar;41638;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;689;Giessenlanden;4285;Woudrichem;01VY;00;Basissch De Lingewaard;4241CA;ARKEL;Zuid-Holland;Bo;Openbaar;41638;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;689;Giessenlanden;3381;Giessenlanden;04MB;00;Chr Bs Samen Op Weg;4223NJ;HOORNAAR;Zuid-Holland;Bo;Protestants-Christelijk;31032;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;689;Giessenlanden;4205;Gorinchem;04MB;00;Chr Bs Samen Op Weg;4223NJ;HOORNAAR;Zuid-Holland;Bo;Protestants-Christelijk;31032;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;689;Giessenlanden;4209;Giessenlanden;04MB;00;Chr Bs Samen Op Weg;4223NJ;HOORNAAR;Zuid-Holland;Bo;Protestants-Christelijk;31032;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;689;Giessenlanden;4221;Giessenlanden;04MB;00;Chr Bs Samen Op Weg;4223NJ;HOORNAAR;Zuid-Holland;Bo;Protestants-Christelijk;31032;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;689;Giessenlanden;4223;Giessenlanden;04MB;00;Chr Bs Samen Op Weg;4223NJ;HOORNAAR;Zuid-Holland;Bo;Protestants-Christelijk;31032;0;18;14;15;14;19;16;15;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;127
