PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1924;Goeree-Overflakkee;3241;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;1;0;3;2;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1924;Goeree-Overflakkee;3244;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;2;0;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1924;Goeree-Overflakkee;3245;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;1;1;2;0;2;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1924;Goeree-Overflakkee;3247;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;2;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1924;Goeree-Overflakkee;3248;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1924;Goeree-Overflakkee;3249;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1924;Goeree-Overflakkee;3251;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1924;Goeree-Overflakkee;3252;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1924;Goeree-Overflakkee;3253;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1924;Goeree-Overflakkee;3255;Goeree-Overflakkee;02CO;00;Chr SSBO De Wegwijzer;3241AD;MIDDELHARNIS;Zuid-Holland;Sbo;Protestants-Christelijk;30837;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3
