PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;786;Grave;  20;Duitsland;03FS;00;Basisschool Hartenaas;5361HZ;GRAVE;Noord-Brabant;Bo;Openbaar;41443;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;786;Grave;5361;Grave;03FS;00;Basisschool Hartenaas;5361HZ;GRAVE;Noord-Brabant;Bo;Openbaar;41443;0;12;24;22;26;20;15;15;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;151
20171001;786;Grave;5363;Grave;03FS;00;Basisschool Hartenaas;5361HZ;GRAVE;Noord-Brabant;Bo;Openbaar;41443;0;0;0;1;2;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;786;Grave;5364;Grave;03FS;00;Basisschool Hartenaas;5361HZ;GRAVE;Noord-Brabant;Bo;Openbaar;41443;0;4;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;786;Grave;5374;Landerd;03FS;00;Basisschool Hartenaas;5361HZ;GRAVE;Noord-Brabant;Bo;Openbaar;41443;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;786;Grave;6603;Wijchen;03FS;00;Basisschool Hartenaas;5361HZ;GRAVE;Noord-Brabant;Bo;Openbaar;41443;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;786;Grave;6613;Wijchen;03FS;00;Basisschool Hartenaas;5361HZ;GRAVE;Noord-Brabant;Bo;Openbaar;41443;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;786;Grave;5361;Grave;03GL;00;De Wegwijzer;5361AX;GRAVE;Noord-Brabant;Bo;Protestants-Christelijk;48348;0;4;7;4;9;9;4;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;49
20171001;786;Grave;5363;Grave;04FQ;00;Basisschool De Bongerd;5438AC;GASSEL;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;786;Grave;5364;Grave;04FQ;00;Basisschool De Bongerd;5438AC;GASSEL;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;786;Grave;5432;Cuijk;04FQ;00;Basisschool De Bongerd;5438AC;GASSEL;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;786;Grave;5438;Grave;04FQ;00;Basisschool De Bongerd;5438AC;GASSEL;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;11;13;8;11;8;15;9;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;86
20171001;786;Grave;5443;Cuijk;04FQ;00;Basisschool De Bongerd;5438AC;GASSEL;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;786;Grave;5451;Mill en Sint Hubert;04FQ;00;Basisschool De Bongerd;5438AC;GASSEL;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;786;Grave;  40;Onbekend;06XO;00;RK BS St Jozef;5363RA;VELP NB;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
