PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;14;Groningen;9321;Noordenveld;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9351;Leek;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;14;Groningen;9354;Leek;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9356;Leek;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9363;Marum;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;14;Groningen;9468;Aa en Hunze;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;14;Groningen;9471;Tynaarlo;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9472;Tynaarlo;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9601;Hoogezand-Sappemeer;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9608;Hoogezand-Sappemeer;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;14;Groningen;9617;Slochteren;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9711;Groningen;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;14;Groningen;9712;Groningen;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;14;Groningen;9713;Groningen;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;14;Groningen;9715;Groningen;02WR;00;SSBO Fiducia;9728CR;GRONINGEN;Groningen;Sbo;Protestants-Christelijk;40851;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
