PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;15;Grootegast;9861;Grootegast;03LR;00;CBS Remmelt Booy;9863PV;DOEZUM;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;15;Grootegast;9863;Grootegast;03LR;00;CBS Remmelt Booy;9863PV;DOEZUM;Groningen;Bo;Protestants-Christelijk;41571;0;10;9;7;9;17;8;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;78
20171001;15;Grootegast;9865;Grootegast;03LR;00;CBS Remmelt Booy;9863PV;DOEZUM;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;15;Grootegast;9821;Grootegast;04DE;00;Johannes Bogerman;9861EE;GROOTEGAST;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;15;Grootegast;9825;Marum;04DE;00;Johannes Bogerman;9861EE;GROOTEGAST;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;15;Grootegast;9843;Zuidhorn;04DE;00;Johannes Bogerman;9861EE;GROOTEGAST;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;3;3;4;4;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;15;Grootegast;9844;Zuidhorn;04DE;00;Johannes Bogerman;9861EE;GROOTEGAST;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;15;Grootegast;9853;Kollumerland en Nieuwkruisland;04DE;00;Johannes Bogerman;9861EE;GROOTEGAST;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;15;Grootegast;9861;Grootegast;04DE;00;Johannes Bogerman;9861EE;GROOTEGAST;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;5;5;8;10;5;7;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
20171001;15;Grootegast;9862;Grootegast;04DE;00;Johannes Bogerman;9861EE;GROOTEGAST;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;2;2;1;4;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
