PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;158;Haaksbergen;7481;Haaksbergen;07YR;00;CBS Op Den Akker;7481GB;HAAKSBERGEN;Overijssel;Bo;Protestants-Christelijk;24844;0;13;7;9;9;10;11;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20171001;158;Haaksbergen;7482;Haaksbergen;07YR;00;CBS Op Den Akker;7481GB;HAAKSBERGEN;Overijssel;Bo;Protestants-Christelijk;24844;0;1;0;1;3;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;158;Haaksbergen;7483;Haaksbergen;07YR;00;CBS Op Den Akker;7481GB;HAAKSBERGEN;Overijssel;Bo;Protestants-Christelijk;24844;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;158;Haaksbergen;7534;Enschede;07YR;00;CBS Op Den Akker;7481GB;HAAKSBERGEN;Overijssel;Bo;Protestants-Christelijk;24844;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;158;Haaksbergen;7481;Haaksbergen;09SY;00;Basisschool Dr Ariens;7482ZK;HAAKSBERGEN;Overijssel;Bo;Rooms-Katholiek;25351;0;3;0;0;2;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;158;Haaksbergen;7482;Haaksbergen;09SY;00;Basisschool Dr Ariens;7482ZK;HAAKSBERGEN;Overijssel;Bo;Rooms-Katholiek;25351;0;12;12;10;15;14;12;10;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;102
20171001;158;Haaksbergen;7483;Haaksbergen;09SY;00;Basisschool Dr Ariens;7482ZK;HAAKSBERGEN;Overijssel;Bo;Rooms-Katholiek;25351;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;158;Haaksbergen;7481;Haaksbergen;11BU;00;Basisschool Paus Joannes;7481DL;HAAKSBERGEN;Overijssel;Bo;Rooms-Katholiek;25351;0;11;14;25;9;18;20;17;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20171001;158;Haaksbergen;7482;Haaksbergen;11BU;00;Basisschool Paus Joannes;7481DL;HAAKSBERGEN;Overijssel;Bo;Rooms-Katholiek;25351;0;3;2;1;1;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;158;Haaksbergen;7483;Haaksbergen;11BU;00;Basisschool Paus Joannes;7481DL;HAAKSBERGEN;Overijssel;Bo;Rooms-Katholiek;25351;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
