PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;392;Haarlem;1161;Haarlemmermeer;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;392;Haarlem;1566;Zaanstad;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;392;Haarlem;2033;Haarlem;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;392;Haarlem;2034;Haarlem;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;392;Haarlem;2035;Haarlem;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;392;Haarlem;2036;Haarlem;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;392;Haarlem;2037;Haarlem;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;392;Haarlem;2064;Haarlemmerliede en Spaarnwoude;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;392;Haarlem;2101;Heemstede;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;392;Haarlem;2104;Heemstede;00RL;16;Antoniusschool;2037RS;HAARLEM;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
