PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;393;Haarlemmerliede en Spaarnwoude;1056;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;393;Haarlemmerliede en Spaarnwoude;1057;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;393;Haarlemmerliede en Spaarnwoude;1060;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;393;Haarlemmerliede en Spaarnwoude;1061;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;393;Haarlemmerliede en Spaarnwoude;1063;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;1;0;0;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;393;Haarlemmerliede en Spaarnwoude;1064;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;393;Haarlemmerliede en Spaarnwoude;1067;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;6;7;8;8;5;5;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
20171001;393;Haarlemmerliede en Spaarnwoude;1068;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;393;Haarlemmerliede en Spaarnwoude;1069;Amsterdam;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;393;Haarlemmerliede en Spaarnwoude;1161;Haarlemmermeer;03BU;00;Basisischool Margriet;1165GL;HALFWEG NH;Noord-Holland;Bo;Openbaar;41500;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
