PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;394;Haarlemmermeer;1064;Amsterdam;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1171;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1421;Uithoorn;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1422;Uithoorn;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1423;Uithoorn;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1432;Aalsmeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1435;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;2036;Haarlem;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;2132;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;2133;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;2134;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;4;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;394;Haarlemmermeer;2135;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;2141;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;2151;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;394;Haarlemmermeer;2157;Haarlemmermeer;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;2181;Hillegom;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;394;Haarlemmermeer;2451;Kaag en Braassem;01JO;18;Prof. van Gilseschool;2134XS;HOOFDDORP;Noord-Holland;So;Algemeen bijzonder;41314;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1161;Haarlemmermeer;02WW;00;SSBO De Klimboom;2134SB;HOOFDDORP;Noord-Holland;Sbo;Algemeen bijzonder;41008;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;394;Haarlemmermeer;1171;Haarlemmermeer;02WW;00;SSBO De Klimboom;2134SB;HOOFDDORP;Noord-Holland;Sbo;Algemeen bijzonder;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;394;Haarlemmermeer;1435;Haarlemmermeer;02WW;00;SSBO De Klimboom;2134SB;HOOFDDORP;Noord-Holland;Sbo;Algemeen bijzonder;41008;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;394;Haarlemmermeer;2131;Haarlemmermeer;02WW;00;SSBO De Klimboom;2134SB;HOOFDDORP;Noord-Holland;Sbo;Algemeen bijzonder;41008;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;394;Haarlemmermeer;2132;Haarlemmermeer;02WW;00;SSBO De Klimboom;2134SB;HOOFDDORP;Noord-Holland;Sbo;Algemeen bijzonder;41008;0;0;0;0;0;1;2;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;394;Haarlemmermeer;2133;Haarlemmermeer;02WW;00;SSBO De Klimboom;2134SB;HOOFDDORP;Noord-Holland;Sbo;Algemeen bijzonder;41008;0;0;0;0;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;394;Haarlemmermeer;2134;Haarlemmermeer;02WW;00;SSBO De Klimboom;2134SB;HOOFDDORP;Noord-Holland;Sbo;Algemeen bijzonder;41008;0;0;0;2;4;6;8;8;3;8;1;0;0;0;0;0;0;0;0;0;0;0;0;40
