PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;243;Harderwijk;3841;Harderwijk;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;243;Harderwijk;3843;Harderwijk;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;243;Harderwijk;3844;Harderwijk;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;5
20171001;243;Harderwijk;3845;Harderwijk;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;243;Harderwijk;3848;Harderwijk;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;243;Harderwijk;3851;Ermelo;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;243;Harderwijk;3864;Nijkerk;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;243;Harderwijk;3882;Putten;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;243;Harderwijk;3893;Zeewolde;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;243;Harderwijk;8072;Nunspeet;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK;Gelderland;Vso;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
