PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;72;Harlingen;  10;Belgie;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8749;S∑dwest-Frysl‘n;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;72;Harlingen;8751;S∑dwest-Frysl‘n;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8801;Franekeradeel;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;72;Harlingen;8806;Franekeradeel;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8812;Franekeradeel;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8821;S∑dwest-Frysl‘n;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;2;2;3;1;0;2;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;72;Harlingen;8822;S∑dwest-Frysl‘n;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8855;Franekeradeel;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8857;Harlingen;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8861;Harlingen;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;24;22;19;27;28;31;27;32;4;0;0;0;0;0;0;0;0;0;0;0;0;0;214
20171001;72;Harlingen;8862;Harlingen;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;15;12;17;13;11;14;15;18;5;0;0;0;0;0;0;0;0;0;0;0;0;0;120
20171001;72;Harlingen;8872;Harlingen;05BJ;00;basisschool Sint Michael;8861CV;HARLINGEN;Friesland;Bo;Rooms-Katholiek;41000;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;72;Harlingen;8746;S∑dwest-Frysl‘n;08JH;01;GBS De Parel;8862BE;HARLINGEN;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8749;S∑dwest-Frysl‘n;08JH;01;GBS De Parel;8862BE;HARLINGEN;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8807;Franekeradeel;08JH;01;GBS De Parel;8862BE;HARLINGEN;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8823;S∑dwest-Frysl‘n;08JH;01;GBS De Parel;8862BE;HARLINGEN;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8861;Harlingen;08JH;01;GBS De Parel;8862BE;HARLINGEN;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8862;Harlingen;08JH;01;GBS De Parel;8862BE;HARLINGEN;Friesland;Bo;Gereformeerd vrijgemaakt;42607;0;1;1;0;6;4;0;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;72;Harlingen;8636;Littenseradiel;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8748;S∑dwest-Frysl‘n;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8749;S∑dwest-Frysl‘n;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;72;Harlingen;8751;S∑dwest-Frysl‘n;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8814;Franekeradeel;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8851;Franekeradeel;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8857;Harlingen;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8861;Harlingen;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;18;17;24;16;18;18;17;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;144
20171001;72;Harlingen;8862;Harlingen;10EE;00;OBS t Wad;8861JE;HARLINGEN;Friesland;Bo;Openbaar;42657;0;5;10;7;2;5;2;9;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;48
20171001;72;Harlingen;8749;S∑dwest-Frysl‘n;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8821;S∑dwest-Frysl‘n;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;72;Harlingen;8851;Franekeradeel;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8861;Harlingen;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;1;3;0;4;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;72;Harlingen;8862;Harlingen;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;19;32;20;30;36;29;29;30;3;0;0;0;0;0;0;0;0;0;0;0;0;0;228
20171001;72;Harlingen;8872;Harlingen;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;9202;Smallingerland;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;9873;Achtkarspelen;10HA;00;cbs Prins Johan Friso;8862ZA;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;72;Harlingen;8821;S∑dwest-Frysl‘n;10XU;00;CBS Het Baken;8862BB;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8857;Harlingen;10XU;00;CBS Het Baken;8862BB;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8861;Harlingen;10XU;00;CBS Het Baken;8862BB;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;1;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;72;Harlingen;8862;Harlingen;10XU;00;CBS Het Baken;8862BB;HARLINGEN;Friesland;Bo;Protestants-Christelijk;42656;0;16;17;15;16;19;20;15;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20171001;72;Harlingen;8806;Franekeradeel;11VF;00;OBS Het Noorderlicht;8862WC;HARLINGEN;Friesland;Bo;Openbaar;42657;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;72;Harlingen;8821;S∑dwest-Frysl‘n;11VF;00;OBS Het Noorderlicht;8862WC;HARLINGEN;Friesland;Bo;Openbaar;42657;0;1;2;2;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;72;Harlingen;8861;Harlingen;11VF;00;OBS Het Noorderlicht;8862WC;HARLINGEN;Friesland;Bo;Openbaar;42657;0;1;1;1;0;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;72;Harlingen;8862;Harlingen;11VF;00;OBS Het Noorderlicht;8862WC;HARLINGEN;Friesland;Bo;Openbaar;42657;0;28;27;32;22;27;29;27;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;218
20171001;72;Harlingen;8807;Franekeradeel;12EV;00;Obs Middelstein;8872NJ;MIDLUM;Friesland;Bo;Openbaar;42657;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8855;Franekeradeel;12EV;00;Obs Middelstein;8872NJ;MIDLUM;Friesland;Bo;Openbaar;42657;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;72;Harlingen;8857;Harlingen;12EV;00;Obs Middelstein;8872NJ;MIDLUM;Friesland;Bo;Openbaar;42657;0;2;0;3;3;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;72;Harlingen;8861;Harlingen;12EV;00;Obs Middelstein;8872NJ;MIDLUM;Friesland;Bo;Openbaar;42657;0;1;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
