PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1658;Heeze-Leende;5591;Heeze-Leende;03BV;00;De Trumakkers;5591NG;HEEZE;Noord-Brabant;Bo;Openbaar;41662;0;12;22;23;19;17;21;25;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;161
20171001;1658;Heeze-Leende;5595;Heeze-Leende;03BV;00;De Trumakkers;5591NG;HEEZE;Noord-Brabant;Bo;Openbaar;41662;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5661;Geldrop-Mierlo;03BV;00;De Trumakkers;5591NG;HEEZE;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5664;Geldrop-Mierlo;03BV;00;De Trumakkers;5591NG;HEEZE;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1658;Heeze-Leende;6029;Heeze-Leende;03BV;00;De Trumakkers;5591NG;HEEZE;Noord-Brabant;Bo;Openbaar;41662;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1658;Heeze-Leende;5591;Heeze-Leende;03YL;00;RK BS De Triangel;5595DE;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5595;Heeze-Leende;03YL;00;RK BS De Triangel;5595DE;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;20;33;30;28;19;27;31;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;213
20171001;1658;Heeze-Leende;5628;Eindhoven;03YL;00;RK BS De Triangel;5595DE;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;6026;Cranendonck;03YL;00;RK BS De Triangel;5595DE;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1658;Heeze-Leende;5591;Heeze-Leende;05FG;00;Basisschool Sint Jan;5595GN;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1658;Heeze-Leende;5595;Heeze-Leende;05FG;00;Basisschool Sint Jan;5595GN;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;10;18;16;15;10;14;11;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;103
20171001;1658;Heeze-Leende;6021;Cranendonck;05FG;00;Basisschool Sint Jan;5595GN;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1658;Heeze-Leende;6027;Cranendonck;05FG;00;Basisschool Sint Jan;5595GN;LEENDE;Noord-Brabant;Bo;Rooms-Katholiek;31384;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;  40;Onbekend;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;2994;Barendrecht;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;3079;Rotterdam;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;So;Rooms-Katholiek;73906;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;3921;Rhenen;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;So;Rooms-Katholiek;73906;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;4267;Aalburg;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5051;Goirle;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;3
20171001;1658;Heeze-Leende;5062;Oisterwijk;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5066;Oisterwijk;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5081;Hilvarenbeek;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;So;Rooms-Katholiek;73906;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5091;Oirschot;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5094;Reusel-De Mierden;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;1658;Heeze-Leende;5096;Reusel-De Mierden;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;So;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5142;Waalwijk;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5224;'s-Hertogenbosch;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;So;Rooms-Katholiek;73906;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5237;'s-Hertogenbosch;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5245;'s-Hertogenbosch;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;So;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1658;Heeze-Leende;5245;'s-Hertogenbosch;05HJ;00;De Berkenschutse;5591VE;HEEZE;Noord-Brabant;Vso;Rooms-Katholiek;73906;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
