PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;399;Heiloo;1851;Heiloo;07ET;00;Elckerlyc Bs Freinetonderwijs;1852WS;HEILOO;Noord-Holland;Bo;Algemeen bijzonder;84489;0;4;8;8;2;5;8;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44
20171001;399;Heiloo;1852;Heiloo;07ET;00;Elckerlyc Bs Freinetonderwijs;1852WS;HEILOO;Noord-Holland;Bo;Algemeen bijzonder;84489;0;12;10;16;11;13;14;10;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;95
20171001;399;Heiloo;1853;Heiloo;07ET;00;Elckerlyc Bs Freinetonderwijs;1852WS;HEILOO;Noord-Holland;Bo;Algemeen bijzonder;84489;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;399;Heiloo;1901;Castricum;07ET;00;Elckerlyc Bs Freinetonderwijs;1852WS;HEILOO;Noord-Holland;Bo;Algemeen bijzonder;84489;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;399;Heiloo;1931;Bergen (NH.);07ET;00;Elckerlyc Bs Freinetonderwijs;1852WS;HEILOO;Noord-Holland;Bo;Algemeen bijzonder;84489;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;399;Heiloo;1934;Bergen (NH.);07ET;00;Elckerlyc Bs Freinetonderwijs;1852WS;HEILOO;Noord-Holland;Bo;Algemeen bijzonder;84489;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;399;Heiloo;1935;Bergen (NH.);07ET;00;Elckerlyc Bs Freinetonderwijs;1852WS;HEILOO;Noord-Holland;Bo;Algemeen bijzonder;84489;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;399;Heiloo;1811;Alkmaar;08WB;00;Basisschool De Duif;1852SN;HEILOO;Noord-Holland;Bo;Protestants-Christelijk;40712;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;399;Heiloo;1813;Alkmaar;08WB;00;Basisschool De Duif;1852SN;HEILOO;Noord-Holland;Bo;Protestants-Christelijk;40712;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;399;Heiloo;1851;Heiloo;08WB;00;Basisschool De Duif;1852SN;HEILOO;Noord-Holland;Bo;Protestants-Christelijk;40712;0;2;1;3;1;6;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;399;Heiloo;1852;Heiloo;08WB;00;Basisschool De Duif;1852SN;HEILOO;Noord-Holland;Bo;Protestants-Christelijk;40712;0;18;25;21;21;23;19;20;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;158
20171001;399;Heiloo;1853;Heiloo;08WB;00;Basisschool De Duif;1852SN;HEILOO;Noord-Holland;Bo;Protestants-Christelijk;40712;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;399;Heiloo;2283;Rijswijk;08WB;00;Basisschool De Duif;1852SN;HEILOO;Noord-Holland;Bo;Protestants-Christelijk;40712;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;399;Heiloo;1566;Zaanstad;08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;399;Heiloo;1705;Heerhugowaard;08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;399;Heiloo;1711;Koggenland;08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;399;Heiloo;1721;Langedijk;08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;399;Heiloo;1851;Heiloo;08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;27;22;26;35;27;32;25;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;210
20171001;399;Heiloo;1852;Heiloo;08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;18;11;8;17;9;6;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79
20171001;399;Heiloo;1853;Heiloo;08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;399;Heiloo;1931;Bergen (NH.);08ZX;00;St Radboud;1851LB;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;399;Heiloo;1816;Alkmaar;09XB;00;Basisschool Benedictus;1851CK;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;399;Heiloo;1851;Heiloo;09XB;00;Basisschool Benedictus;1851CK;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;18;23;26;31;29;28;19;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202
20171001;399;Heiloo;1852;Heiloo;09XB;00;Basisschool Benedictus;1851CK;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;2;1;6;2;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;399;Heiloo;1853;Heiloo;09XB;00;Basisschool Benedictus;1851CK;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;399;Heiloo;1851;Heiloo;10PN;00;RK Bs Sint Willibrord;1852WS;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;399;Heiloo;1852;Heiloo;10PN;00;RK Bs Sint Willibrord;1852WS;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;17;16;16;11;20;13;13;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;121
20171001;399;Heiloo;1853;Heiloo;10PN;00;RK Bs Sint Willibrord;1852WS;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;399;Heiloo;1934;Bergen (NH.);10PN;00;RK Bs Sint Willibrord;1852WS;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;399;Heiloo;1935;Bergen (NH.);10PN;00;RK Bs Sint Willibrord;1852WS;HEILOO;Noord-Holland;Bo;Rooms-Katholiek;73919;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;399;Heiloo;1851;Heiloo;11JQ;00;De Zuidwester;1852WS;HEILOO;Noord-Holland;Bo;Openbaar;41191;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;399;Heiloo;1852;Heiloo;11JQ;00;De Zuidwester;1852WS;HEILOO;Noord-Holland;Bo;Openbaar;41191;0;18;24;21;24;19;31;22;23;4;0;0;0;0;0;0;0;0;0;0;0;0;0;186
20171001;399;Heiloo;1853;Heiloo;11JQ;00;De Zuidwester;1852WS;HEILOO;Noord-Holland;Bo;Openbaar;41191;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
