PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;530;Hellevoetsluis;3221;Hellevoetsluis;01AI;02;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;530;Hellevoetsluis;3223;Hellevoetsluis;01AI;02;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;530;Hellevoetsluis;3224;Hellevoetsluis;01AI;02;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;530;Hellevoetsluis;3225;Hellevoetsluis;01AI;02;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;530;Hellevoetsluis;3232;Brielle;01AI;02;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;530;Hellevoetsluis;3251;Goeree-Overflakkee;01AI;02;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;530;Hellevoetsluis;3253;Goeree-Overflakkee;01AI;02;Mw Dr CP Gelinksch;3224HE;HELLEVOETSLUIS;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;530;Hellevoetsluis;2526;'s-Gravenhage;09XC;00;Hendrik Boogaardschool;3223EV;HELLEVOETSLUIS;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;530;Hellevoetsluis;3077;Rotterdam;09XC;00;Hendrik Boogaardschool;3223EV;HELLEVOETSLUIS;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;530;Hellevoetsluis;3136;Vlaardingen;09XC;00;Hendrik Boogaardschool;3223EV;HELLEVOETSLUIS;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
