PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;531;Hendrik-Ido-Ambacht;2988;Ridderkerk;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;531;Hendrik-Ido-Ambacht;2989;Ridderkerk;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;2;2;2;3;1;4;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;531;Hendrik-Ido-Ambacht;2992;Barendrecht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;531;Hendrik-Ido-Ambacht;3311;Dordrecht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;531;Hendrik-Ido-Ambacht;3332;Zwijndrecht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;531;Hendrik-Ido-Ambacht;3335;Zwijndrecht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;531;Hendrik-Ido-Ambacht;3341;Hendrik-Ido-Ambacht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;30;37;30;32;31;34;34;31;7;0;0;0;0;0;0;0;0;0;0;0;0;0;266
20171001;531;Hendrik-Ido-Ambacht;3342;Hendrik-Ido-Ambacht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;531;Hendrik-Ido-Ambacht;3343;Hendrik-Ido-Ambacht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;11;12;7;12;7;10;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20171001;531;Hendrik-Ido-Ambacht;3344;Hendrik-Ido-Ambacht;09TZ;00;Willem de Zwijgerschool;3341CE;HENDRIK-IDO-AMBACHT;Zuid-Holland;Bo;Reformatorisch;38910;0;9;16;9;15;8;4;11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87
