PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;164;Hengelo;  20;Duitsland;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;164;Hengelo;7151;Berkelland;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;164;Hengelo;7161;Berkelland;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;164;Hengelo;7552;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;1;2;0;1;1;2;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;164;Hengelo;7553;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;2;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;164;Hengelo;7554;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;164;Hengelo;7555;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;164;Hengelo;7556;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;5;2;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;164;Hengelo;7557;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;4;3;4;2;3;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;164;Hengelo;7558;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;3;5;1;6;3;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;164;Hengelo;7559;Hengelo;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;1;0;0;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;164;Hengelo;7623;Borne;00FG;00;BS De Triangel;7557KJ;HENGELO OV;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;164;Hengelo;7415;Deventer;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;164;Hengelo;7471;Hof van Twente;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;6
20171001;164;Hengelo;7481;Haaksbergen;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;164;Hengelo;7482;Haaksbergen;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;164;Hengelo;7491;Hof van Twente;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
20171001;164;Hengelo;7511;Enschede;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;164;Hengelo;7522;Enschede;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;164;Hengelo;7552;Hengelo;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;3;4;2;2;1;0;0;0;0;0;0;0;0;12
20171001;164;Hengelo;7553;Hengelo;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;2;1;1;4;0;0;0;0;0;0;0;0;0;0;8
20171001;164;Hengelo;7555;Hengelo;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;4
20171001;164;Hengelo;7556;Hengelo;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;1;1;3;2;1;0;0;0;0;0;0;0;0;0;8
20171001;164;Hengelo;7557;Hengelo;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;4
20171001;164;Hengelo;7558;Hengelo;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;3;1;2;2;0;0;0;0;0;0;0;0;0;0;8
20171001;164;Hengelo;7559;Hengelo;00KM;00;Attendiz;7552HA;HENGELO OV;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;5
