PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;252;Heumen;5361;Grave;03RW;00;De Tandem;6612BB;NEDERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;252;Heumen;6601;Wijchen;03RW;00;De Tandem;6612BB;NEDERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;252;Heumen;6612;Heumen;03RW;00;De Tandem;6612BB;NEDERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;7;6;10;7;9;7;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
20171001;252;Heumen;6613;Wijchen;03RW;00;De Tandem;6612BB;NEDERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;252;Heumen;5361;Grave;05DC;00;RK Basissch D Zilverberg;6611BR;OVERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;252;Heumen;6535;Nijmegen;05DC;00;RK Basissch D Zilverberg;6611BR;OVERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;252;Heumen;6536;Nijmegen;05DC;00;RK Basissch D Zilverberg;6611BR;OVERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;252;Heumen;6581;Heumen;05DC;00;RK Basissch D Zilverberg;6611BR;OVERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;252;Heumen;6582;Heumen;05DC;00;RK Basissch D Zilverberg;6611BR;OVERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;252;Heumen;6603;Wijchen;05DC;00;RK Basissch D Zilverberg;6611BR;OVERASSELT;Gelderland;Bo;Rooms-Katholiek;40814;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
