PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;798;Hilvarenbeek;5085;Hilvarenbeek;03YB;00;De Wingerd;5085GD;ESBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;12;8;10;13;11;9;9;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;88
20171001;798;Hilvarenbeek;5087;Hilvarenbeek;03YB;00;De Wingerd;5085GD;ESBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;798;Hilvarenbeek;5094;Reusel-De Mierden;03YB;00;De Wingerd;5085GD;ESBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;798;Hilvarenbeek;5011;Tilburg;08XC;00;Basisschool Starrebos;5081VH;HILVARENBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;798;Hilvarenbeek;5021;Tilburg;08XC;00;Basisschool Starrebos;5081VH;HILVARENBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;798;Hilvarenbeek;5022;Tilburg;08XC;00;Basisschool Starrebos;5081VH;HILVARENBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;798;Hilvarenbeek;5043;Tilburg;08XC;00;Basisschool Starrebos;5081VH;HILVARENBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;798;Hilvarenbeek;5045;Tilburg;08XC;00;Basisschool Starrebos;5081VH;HILVARENBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;798;Hilvarenbeek;5081;Hilvarenbeek;08XC;00;Basisschool Starrebos;5081VH;HILVARENBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;34;37;38;47;43;41;46;26;3;0;0;0;0;0;0;0;0;0;0;0;0;0;315
20171001;798;Hilvarenbeek;5084;Hilvarenbeek;08XC;00;Basisschool Starrebos;5081VH;HILVARENBEEK;Noord-Brabant;Bo;Rooms-Katholiek;40941;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
