PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;402;Hilversum;1181;Amstelveen;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1211;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1212;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1212;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;4
20171001;402;Hilversum;1213;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1213;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
20171001;402;Hilversum;1214;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1214;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1215;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1215;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;0;6
20171001;402;Hilversum;1216;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;402;Hilversum;1216;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;4
20171001;402;Hilversum;1217;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1217;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;5
20171001;402;Hilversum;1218;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1218;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1221;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1221;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;2;2;0;0;1;2;0;0;0;0;0;0;0;0;7
20171001;402;Hilversum;1222;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;402;Hilversum;1222;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;0;0;0;0;5
20171001;402;Hilversum;1223;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1223;Hilversum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;4
20171001;402;Hilversum;1231;Wijdemeren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1241;Wijdemeren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1241;Wijdemeren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
20171001;402;Hilversum;1243;Wijdemeren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1244;Wijdemeren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1251;Laren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1251;Laren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1252;Laren;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1261;Blaricum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1261;Blaricum;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;Vso;Algemeen bijzonder;41290;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;402;Hilversum;1271;Huizen;00SL;00;Stichting Mozarthof;1217CM;HILVERSUM;Noord-Holland;So;Algemeen bijzonder;41290;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
