PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1735;Hof van Twente;7491;Hof van Twente;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1735;Hof van Twente;7495;Hof van Twente;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;1;1;6;1;7;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;1735;Hof van Twente;7597;Dinkelland;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1735;Hof van Twente;7621;Borne;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;1;3;1;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;1735;Hof van Twente;7622;Borne;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1735;Hof van Twente;7623;Borne;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1735;Hof van Twente;7625;Borne;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1735;Hof van Twente;7627;Almelo;03AN;00;Basisschool Azelo;7495TW;AMBT DELDEN;Overijssel;Bo;Openbaar;41785;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1735;Hof van Twente;7491;Hof van Twente;03IC;00;De Toonladder Nutsschool;7491EA;DELDEN;Overijssel;Bo;Algemeen bijzonder;37650;0;17;11;17;15;11;13;19;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;121
20171001;1735;Hof van Twente;7495;Hof van Twente;03IC;00;De Toonladder Nutsschool;7491EA;DELDEN;Overijssel;Bo;Algemeen bijzonder;37650;0;2;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
