PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1911;Hollands Kroon;1771;Hollands Kroon;04BD;00;Heilige Henricus-School;1777GN;HIPPOLYTUSHOEF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1774;Hollands Kroon;04BD;00;Heilige Henricus-School;1777GN;HIPPOLYTUSHOEF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1777;Hollands Kroon;04BD;00;Heilige Henricus-School;1777GN;HIPPOLYTUSHOEF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;22;33;28;20;27;22;21;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;193
20171001;1911;Hollands Kroon;1778;Hollands Kroon;04BD;00;Heilige Henricus-School;1777GN;HIPPOLYTUSHOEF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;4;6;3;2;4;2;7;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;1911;Hollands Kroon;1779;Hollands Kroon;04BD;00;Heilige Henricus-School;1777GN;HIPPOLYTUSHOEF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1788;Den Helder;04BD;00;Heilige Henricus-School;1777GN;HIPPOLYTUSHOEF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1774;Hollands Kroon;04OW;00;PCB De Branding;1779BJ;DEN OEVER;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1911;Hollands Kroon;1777;Hollands Kroon;04OW;00;PCB De Branding;1779BJ;DEN OEVER;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1778;Hollands Kroon;04OW;00;PCB De Branding;1779BJ;DEN OEVER;Noord-Holland;Bo;Protestants-Christelijk;79874;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1779;Hollands Kroon;04OW;00;PCB De Branding;1779BJ;DEN OEVER;Noord-Holland;Bo;Protestants-Christelijk;79874;0;5;1;3;4;5;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;1911;Hollands Kroon;1781;Den Helder;04OW;00;PCB De Branding;1779BJ;DEN OEVER;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1788;Den Helder;04OW;00;PCB De Branding;1779BJ;DEN OEVER;Noord-Holland;Bo;Protestants-Christelijk;79874;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1761;Hollands Kroon;04UC;00;RK Basisschool St Jan;1764GS;BREEZAND;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;2;1;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1911;Hollands Kroon;1764;Hollands Kroon;04UC;00;RK Basisschool St Jan;1764GS;BREEZAND;Noord-Holland;Bo;Rooms-Katholiek;55238;0;29;21;33;29;22;21;27;28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;212
20171001;1911;Hollands Kroon;1778;Hollands Kroon;04UC;00;RK Basisschool St Jan;1764GS;BREEZAND;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1784;Den Helder;04UC;00;RK Basisschool St Jan;1764GS;BREEZAND;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1786;Den Helder;04UC;00;RK Basisschool St Jan;1764GS;BREEZAND;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1774;Hollands Kroon;07FE;00;De Meertuin;1774AK;SLOOTDORP;Noord-Holland;Bo;Algemeen bijzonder;85217;0;17;18;14;18;18;17;13;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;137
20171001;1911;Hollands Kroon;1778;Hollands Kroon;07FE;00;De Meertuin;1774AK;SLOOTDORP;Noord-Holland;Bo;Algemeen bijzonder;85217;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1771;Hollands Kroon;07TE;00;RK Basisschool Don Bosco;1771RZ;WIERINGERWERF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;18;25;25;15;26;20;31;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;180
20171001;1911;Hollands Kroon;1773;Hollands Kroon;07TE;00;RK Basisschool Don Bosco;1771RZ;WIERINGERWERF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1774;Hollands Kroon;07TE;00;RK Basisschool Don Bosco;1771RZ;WIERINGERWERF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;1;2;4;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;1911;Hollands Kroon;1775;Hollands Kroon;07TE;00;RK Basisschool Don Bosco;1771RZ;WIERINGERWERF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1782;Den Helder;07TE;00;RK Basisschool Don Bosco;1771RZ;WIERINGERWERF;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1671;Medemblik;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1718;Opmeer;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1731;Hollands Kroon;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1732;Hollands Kroon;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1911;Hollands Kroon;1733;Hollands Kroon;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1734;Hollands Kroon;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1735;Hollands Kroon;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;21;19;25;13;21;19;22;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;160
20171001;1911;Hollands Kroon;1736;Hollands Kroon;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;3;1;4;2;3;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;1911;Hollands Kroon;1738;Schagen;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1746;Schagen;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1747;Schagen;08YT;00;De Marinx;1735GK;'T VELD;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1754;Schagen;08ZD;00;Titus Brandsma;1775AX;MIDDENMEER;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1771;Hollands Kroon;08ZD;00;Titus Brandsma;1775AX;MIDDENMEER;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1773;Hollands Kroon;08ZD;00;Titus Brandsma;1775AX;MIDDENMEER;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1774;Hollands Kroon;08ZD;00;Titus Brandsma;1775AX;MIDDENMEER;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;1;3;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1911;Hollands Kroon;1775;Hollands Kroon;08ZD;00;Titus Brandsma;1775AX;MIDDENMEER;Noord-Holland;Bo;Rooms-Katholiek;55238;0;21;19;27;26;27;19;23;18;5;0;0;0;0;0;0;0;0;0;0;0;0;0;185
20171001;1911;Hollands Kroon;1779;Hollands Kroon;08ZD;00;Titus Brandsma;1775AX;MIDDENMEER;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1625;Hoorn;10DC;00;De Tweewegen;1766JD;WIERINGERWAARD;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1761;Hollands Kroon;10DC;00;De Tweewegen;1766JD;WIERINGERWAARD;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1911;Hollands Kroon;1764;Hollands Kroon;10DC;00;De Tweewegen;1766JD;WIERINGERWAARD;Noord-Holland;Bo;Openbaar;41438;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1766;Hollands Kroon;10DC;00;De Tweewegen;1766JD;WIERINGERWAARD;Noord-Holland;Bo;Openbaar;41438;0;22;17;32;16;26;23;18;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;168
20171001;1911;Hollands Kroon;1768;Hollands Kroon;10DC;00;De Tweewegen;1766JD;WIERINGERWAARD;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1774;Hollands Kroon;10DC;00;De Tweewegen;1766JD;WIERINGERWAARD;Noord-Holland;Bo;Openbaar;41438;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1719;Opmeer;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1724;Langedijk;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1731;Hollands Kroon;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;18;30;20;28;17;17;24;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;171
20171001;1911;Hollands Kroon;1732;Hollands Kroon;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1733;Hollands Kroon;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;14;11;14;17;18;15;23;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;128
20171001;1911;Hollands Kroon;1734;Hollands Kroon;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1911;Hollands Kroon;1735;Hollands Kroon;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1756;Schagen;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1767;Hollands Kroon;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1768;Hollands Kroon;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1834;Langedijk;10PA;00;Antoniusschool;1733AZ;NIEUWE NIEDORP;Noord-Holland;Bo;Rooms-Katholiek;55238;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1103;Amsterdam;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1732;Hollands Kroon;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1733;Hollands Kroon;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1741;Schagen;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1756;Schagen;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1757;Schagen;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1761;Hollands Kroon;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1766;Hollands Kroon;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1767;Hollands Kroon;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;10;9;5;9;6;8;5;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;62
20171001;1911;Hollands Kroon;1768;Hollands Kroon;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;2;1;3;8;3;6;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;1911;Hollands Kroon;1775;Hollands Kroon;10UU;00;Basisschool Op Avontuur;1767CD;KOLHORN;Noord-Holland;Bo;Openbaar;41438;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;  30;ander land;10VM;00;Basisschool De Kei;1777AC;HIPPOLYTUSHOEF;Noord-Holland;Bo;Openbaar;41438;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1911;Hollands Kroon;1689;Hoorn;10VM;00;Basisschool De Kei;1777AC;HIPPOLYTUSHOEF;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1911;Hollands Kroon;1774;Hollands Kroon;10VM;00;Basisschool De Kei;1777AC;HIPPOLYTUSHOEF;Noord-Holland;Bo;Openbaar;41438;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1911;Hollands Kroon;1777;Hollands Kroon;10VM;00;Basisschool De Kei;1777AC;HIPPOLYTUSHOEF;Noord-Holland;Bo;Openbaar;41438;0;20;18;18;22;12;36;28;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;182
20171001;1911;Hollands Kroon;1778;Hollands Kroon;10VM;00;Basisschool De Kei;1777AC;HIPPOLYTUSHOEF;Noord-Holland;Bo;Openbaar;41438;0;1;2;3;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
