PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;118;Hoogeveen;7741;Coevorden;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;118;Hoogeveen;7742;Coevorden;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;118;Hoogeveen;7901;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;118;Hoogeveen;7902;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;1;1;1;0;4;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;118;Hoogeveen;7904;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;118;Hoogeveen;7905;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;118;Hoogeveen;7906;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;118;Hoogeveen;7907;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;118;Hoogeveen;7908;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;3;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;118;Hoogeveen;7909;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;118;Hoogeveen;7912;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;118;Hoogeveen;7913;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;118;Hoogeveen;7914;Hoogeveen;00JH;00;SSBO De Kameleon;7901JN;HOOGEVEEN;Drenthe;Sbo;Algemeen bijzonder;41414;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
