PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;321;Houten;1214;Hilversum;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;1276;Huizen;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;1427;De Ronde Venen;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;321;Houten;2415;Bodegraven-Reeuwijk;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;3401;IJsselstein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;321;Houten;3401;IJsselstein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;3
20171001;321;Houten;3402;IJsselstein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;321;Houten;3402;IJsselstein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;4
20171001;321;Houten;3403;IJsselstein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;3404;IJsselstein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;321;Houten;3404;IJsselstein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;3411;Lopik;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;3411;Lopik;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
20171001;321;Houten;3417;Montfoort;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;3417;Montfoort;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;3
20171001;321;Houten;3421;Oudewater;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;321;Houten;3431;Nieuwegein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;3432;Nieuwegein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;So;Algemeen bijzonder;40908;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;321;Houten;3432;Nieuwegein;02RF;01;Berg en Boschschool;3994AD;HOUTEN;Utrecht;Vso;Algemeen bijzonder;40908;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
