PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;353;IJsselstein;2871;Krimpenerwaard;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;353;IJsselstein;3401;IJsselstein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;1;1;0;2;4;7;7;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;353;IJsselstein;3402;IJsselstein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;1;2;4;5;3;6;10;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;43
20171001;353;IJsselstein;3403;IJsselstein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;353;IJsselstein;3404;IJsselstein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;4;3;5;5;8;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;353;IJsselstein;3405;Lopik;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;1;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;353;IJsselstein;3411;Lopik;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;2;1;3;5;9;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;353;IJsselstein;3412;Lopik;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;353;IJsselstein;3417;Montfoort;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;353;IJsselstein;3432;Nieuwegein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;353;IJsselstein;3433;Nieuwegein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;353;IJsselstein;3434;Nieuwegein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;0;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;353;IJsselstein;3435;Nieuwegein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;353;IJsselstein;3436;Nieuwegein;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;353;IJsselstein;3461;Montfoort;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;353;IJsselstein;4131;Vianen;04DR;00;SSBO De Wenteltrap;3401RR;IJSSELSTEIN UT;Utrecht;Sbo;Algemeen bijzonder;77975;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;353;IJsselstein;3401;IJsselstein;08IT;00;De Tandem;3402HP;IJSSELSTEIN UT;Utrecht;Bo;Openbaar;41792;0;8;1;3;4;4;3;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;353;IJsselstein;3402;IJsselstein;08IT;00;De Tandem;3402HP;IJSSELSTEIN UT;Utrecht;Bo;Openbaar;41792;0;34;34;32;35;23;14;12;17;6;0;0;0;0;0;0;0;0;0;0;0;0;0;207
20171001;353;IJsselstein;3403;IJsselstein;08IT;00;De Tandem;3402HP;IJSSELSTEIN UT;Utrecht;Bo;Openbaar;41792;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;353;IJsselstein;3404;IJsselstein;08IT;00;De Tandem;3402HP;IJSSELSTEIN UT;Utrecht;Bo;Openbaar;41792;0;2;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;353;IJsselstein;3411;Lopik;08IT;00;De Tandem;3402HP;IJSSELSTEIN UT;Utrecht;Bo;Openbaar;41792;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;353;IJsselstein;3434;Nieuwegein;08IT;00;De Tandem;3402HP;IJSSELSTEIN UT;Utrecht;Bo;Openbaar;41792;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
