PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1884;Kaag en Braassem;1431;Aalsmeer;03JG;00;Bs De Kleine Wereld;2451BV;LEIMUIDEN;Zuid-Holland;Bo;Rooms-Katholiek;40974;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1884;Kaag en Braassem;2154;Haarlemmermeer;03JG;00;Bs De Kleine Wereld;2451BV;LEIMUIDEN;Zuid-Holland;Bo;Rooms-Katholiek;40974;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1884;Kaag en Braassem;2451;Kaag en Braassem;03JG;00;Bs De Kleine Wereld;2451BV;LEIMUIDEN;Zuid-Holland;Bo;Rooms-Katholiek;40974;0;23;25;21;25;22;16;12;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164
20171001;1884;Kaag en Braassem;2465;Kaag en Braassem;03JG;00;Bs De Kleine Wereld;2451BV;LEIMUIDEN;Zuid-Holland;Bo;Rooms-Katholiek;40974;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1884;Kaag en Braassem;  30;ander land;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2157;Haarlemmermeer;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1884;Kaag en Braassem;2315;Leiden;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2371;Kaag en Braassem;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;25;33;36;23;32;24;29;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224
20171001;1884;Kaag en Braassem;2375;Kaag en Braassem;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2376;Kaag en Braassem;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;6;2;1;1;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;1884;Kaag en Braassem;2377;Kaag en Braassem;03PH;00;RKBS De Kiem;2371EK;ROELOFARENDSVEEN;Zuid-Holland;Bo;Samenwerking PC, RK;40969;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1884;Kaag en Braassem;1435;Haarlemmermeer;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2156;Haarlemmermeer;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;1;4;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1884;Kaag en Braassem;2157;Haarlemmermeer;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1884;Kaag en Braassem;2315;Leiden;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2371;Kaag en Braassem;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;14;9;6;13;13;6;5;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;1884;Kaag en Braassem;2375;Kaag en Braassem;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2376;Kaag en Braassem;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;1;2;1;4;2;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1884;Kaag en Braassem;2377;Kaag en Braassem;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;26;23;16;25;17;20;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144
20171001;1884;Kaag en Braassem;2451;Kaag en Braassem;04GX;00;Elckerlyc;2371RE;ROELOFARENDSVEEN;Zuid-Holland;Bo;Openbaar;40969;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2313;Leiden;04RU;00;Chr BS De Kinderkring;2481XB;WOUBRUGGE;Zuid-Holland;Bo;Protestants-Christelijk;40974;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1884;Kaag en Braassem;2355;Kaag en Braassem;04RU;00;Chr BS De Kinderkring;2481XB;WOUBRUGGE;Zuid-Holland;Bo;Protestants-Christelijk;40974;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
