PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;166;Kampen;8043;Zwolle;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;166;Kampen;8051;Hattem;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;166;Kampen;8061;Zwartewaterland;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;166;Kampen;8091;Oldebroek;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;166;Kampen;8097;Oldebroek;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;166;Kampen;8251;Dronten;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;166;Kampen;8256;Dronten;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;166;Kampen;8261;Kampen;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;166;Kampen;8262;Kampen;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;1;0;0;1;1;3;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;166;Kampen;8264;Kampen;02WY;00;SBO Prisma;8264PB;KAMPEN;Overijssel;Sbo;Protestants-Christelijk;86971;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
