PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;537;Katwijk;2201;Noordwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;1;0;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;537;Katwijk;2202;Noordwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2211;Noordwijkerhout;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2215;Teylingen;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2221;Katwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;1;0;1;2;5;9;6;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20171001;537;Katwijk;2223;Katwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;3;0;3;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;537;Katwijk;2224;Katwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;2;1;5;2;2;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;537;Katwijk;2225;Katwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;2;3;3;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;537;Katwijk;2231;Katwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;5;1;6;3;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;537;Katwijk;2235;Katwijk;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;537;Katwijk;2343;Oegstgeest;01JQ;00;SSBO De Windvang;2221SC;KATWIJK ZH;Zuid-Holland;Sbo;Protestants-Christelijk;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2031;Haarlem;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2114;Bloemendaal;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2161;Lisse;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2162;Lisse;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;537;Katwijk;2163;Lisse;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2171;Teylingen;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;537;Katwijk;2181;Hillegom;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2182;Hillegom;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2191;Noordwijkerhout;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2201;Noordwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2202;Noordwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2211;Noordwijkerhout;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;4;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;537;Katwijk;2215;Teylingen;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;2;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;537;Katwijk;2221;Katwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;1;0;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;537;Katwijk;2223;Katwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2224;Katwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;1;2;0;0;4;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;537;Katwijk;2225;Katwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;2;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;537;Katwijk;2231;Katwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;537;Katwijk;2235;Katwijk;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2241;Wassenaar;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2251;Voorschoten;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2253;Voorschoten;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;537;Katwijk;2313;Leiden;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2315;Leiden;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2317;Leiden;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2377;Kaag en Braassem;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2381;Zoeterwoude;02EJ;00;Leidse Buitenschool;2224CD;KATWIJK ZH;Zuid-Holland;So;Algemeen bijzonder;41008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2221;Katwijk;04PA;00;Gasp De Colignyschool;2225VB;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;40508;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;537;Katwijk;2223;Katwijk;04PA;00;Gasp De Colignyschool;2225VB;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;40508;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2224;Katwijk;04PA;00;Gasp De Colignyschool;2225VB;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;40508;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;537;Katwijk;2225;Katwijk;04PA;00;Gasp De Colignyschool;2225VB;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;40508;0;19;22;23;22;20;24;20;21;4;0;0;0;0;0;0;0;0;0;0;0;0;0;175
20171001;537;Katwijk;2231;Katwijk;04PA;00;Gasp De Colignyschool;2225VB;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;40508;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2235;Katwijk;04PA;00;Gasp De Colignyschool;2225VB;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;40508;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;537;Katwijk;2221;Katwijk;04UG;00;Gr v Prinsterer-School;2224SZ;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;43980;0;1;2;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;537;Katwijk;2223;Katwijk;04UG;00;Gr v Prinsterer-School;2224SZ;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;43980;0;1;2;3;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;537;Katwijk;2224;Katwijk;04UG;00;Gr v Prinsterer-School;2224SZ;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;43980;0;18;19;24;7;17;20;14;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0;137
20171001;537;Katwijk;2225;Katwijk;04UG;00;Gr v Prinsterer-School;2224SZ;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;43980;0;14;19;9;15;11;11;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104
20171001;537;Katwijk;2231;Katwijk;04UG;00;Gr v Prinsterer-School;2224SZ;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;43980;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;537;Katwijk;2235;Katwijk;04UG;00;Gr v Prinsterer-School;2224SZ;KATWIJK ZH;Zuid-Holland;Bo;Protestants-Christelijk;43980;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
