PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;79;Kollumerland en Nieuwkruisland;9293;Kollumerland en Nieuwkruisland;04IR;00;Chr Basissch D Wegwijzer;9293LS;KOLLUMERPOMP;Friesland;Bo;Protestants-Christelijk;40635;0;8;2;7;8;3;6;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46
20171001;79;Kollumerland en Nieuwkruisland;9291;Kollumerland en Nieuwkruisland;04IT;00;Chr Basissch D Tarissing;9294KN;OUDWOUDE;Friesland;Bo;Protestants-Christelijk;40635;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9294;Kollumerland en Nieuwkruisland;04IT;00;Chr Basissch D Tarissing;9294KN;OUDWOUDE;Friesland;Bo;Protestants-Christelijk;40635;0;7;6;13;12;9;12;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;79;Kollumerland en Nieuwkruisland;9295;Kollumerland en Nieuwkruisland;04IT;00;Chr Basissch D Tarissing;9294KN;OUDWOUDE;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9298;Kollumerland en Nieuwkruisland;04IT;00;Chr Basissch D Tarissing;9294KN;OUDWOUDE;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9291;Kollumerland en Nieuwkruisland;05UL;00;Chr Basissch De Bining;9295KC;WESTERGEEST;Friesland;Bo;Protestants-Christelijk;40635;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9295;Kollumerland en Nieuwkruisland;05UL;00;Chr Basissch De Bining;9295KC;WESTERGEEST;Friesland;Bo;Protestants-Christelijk;40635;0;5;6;3;7;7;7;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49
20171001;79;Kollumerland en Nieuwkruisland;9296;Kollumerland en Nieuwkruisland;05UL;00;Chr Basissch De Bining;9295KC;WESTERGEEST;Friesland;Bo;Protestants-Christelijk;40635;0;2;0;3;3;2;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;79;Kollumerland en Nieuwkruisland;9292;Kollumerland en Nieuwkruisland;07HO;00;Basisschool Op de Hoogte;9851AJ;BURUM;Friesland;Bo;Protestants-Christelijk;40635;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;79;Kollumerland en Nieuwkruisland;9851;Kollumerland en Nieuwkruisland;07HO;00;Basisschool Op de Hoogte;9851AJ;BURUM;Friesland;Bo;Protestants-Christelijk;40635;0;9;9;6;11;11;7;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20171001;79;Kollumerland en Nieuwkruisland;9852;Kollumerland en Nieuwkruisland;07HO;00;Basisschool Op de Hoogte;9851AJ;BURUM;Friesland;Bo;Protestants-Christelijk;40635;0;3;1;1;1;5;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;79;Kollumerland en Nieuwkruisland;9844;Zuidhorn;08UJ;00;Basisschool 't Oegh;9853PD;MUNNEKEZIJL;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9852;Kollumerland en Nieuwkruisland;08UJ;00;Basisschool 't Oegh;9853PD;MUNNEKEZIJL;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;79;Kollumerland en Nieuwkruisland;9853;Kollumerland en Nieuwkruisland;08UJ;00;Basisschool 't Oegh;9853PD;MUNNEKEZIJL;Friesland;Bo;Protestants-Christelijk;40635;0;3;6;3;4;5;2;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;79;Kollumerland en Nieuwkruisland;9285;Achtkarspelen;09CT;00;Pr Bernhardschool;9291HP;KOLLUM;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9291;Kollumerland en Nieuwkruisland;09CT;00;Pr Bernhardschool;9291HP;KOLLUM;Friesland;Bo;Protestants-Christelijk;40635;0;12;16;9;19;16;18;14;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;125
20171001;79;Kollumerland en Nieuwkruisland;9291;Kollumerland en Nieuwkruisland;09YZ;00;Kon Julianasch;9291AX;KOLLUM;Friesland;Bo;Protestants-Christelijk;40635;0;23;12;19;13;18;19;22;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;145
20171001;79;Kollumerland en Nieuwkruisland;9292;Kollumerland en Nieuwkruisland;09YZ;00;Kon Julianasch;9291AX;KOLLUM;Friesland;Bo;Protestants-Christelijk;40635;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;79;Kollumerland en Nieuwkruisland;9293;Kollumerland en Nieuwkruisland;09YZ;00;Kon Julianasch;9291AX;KOLLUM;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;79;Kollumerland en Nieuwkruisland;9294;Kollumerland en Nieuwkruisland;09YZ;00;Kon Julianasch;9291AX;KOLLUM;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;79;Kollumerland en Nieuwkruisland;9295;Kollumerland en Nieuwkruisland;09YZ;00;Kon Julianasch;9291AX;KOLLUM;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9271;Dantumadiel;10IK;00;De Stapstien;9298PT;KOLLUMERZWAAG;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9287;Achtkarspelen;10IK;00;De Stapstien;9298PT;KOLLUMERZWAAG;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9295;Kollumerland en Nieuwkruisland;10IK;00;De Stapstien;9298PT;KOLLUMERZWAAG;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9297;Kollumerland en Nieuwkruisland;10IK;00;De Stapstien;9298PT;KOLLUMERZWAAG;Friesland;Bo;Protestants-Christelijk;40635;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;79;Kollumerland en Nieuwkruisland;9298;Kollumerland en Nieuwkruisland;10IK;00;De Stapstien;9298PT;KOLLUMERZWAAG;Friesland;Bo;Protestants-Christelijk;40635;0;32;32;32;29;36;37;29;36;10;0;0;0;0;0;0;0;0;0;0;0;0;0;273
20171001;79;Kollumerland en Nieuwkruisland;9114;Dantumadiel;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9132;Dongeradeel;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9136;Dongeradeel;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9271;Dantumadiel;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;79;Kollumerland en Nieuwkruisland;9286;Achtkarspelen;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9291;Kollumerland en Nieuwkruisland;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;24;18;16;25;16;14;22;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;150
20171001;79;Kollumerland en Nieuwkruisland;9293;Kollumerland en Nieuwkruisland;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;79;Kollumerland en Nieuwkruisland;9294;Kollumerland en Nieuwkruisland;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;79;Kollumerland en Nieuwkruisland;9295;Kollumerland en Nieuwkruisland;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;79;Kollumerland en Nieuwkruisland;9296;Kollumerland en Nieuwkruisland;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;79;Kollumerland en Nieuwkruisland;9298;Kollumerland en Nieuwkruisland;18IY;00;OBS Prof Casimir;9291BS;KOLLUM;Friesland;Bo;Openbaar;41492;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
