PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1659;Laarbeek;5465;Meierijstad;03PP;00;Bernadetteschool;5738AH;MARIAHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1659;Laarbeek;5491;Meierijstad;03PP;00;Bernadetteschool;5738AH;MARIAHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1659;Laarbeek;5735;Laarbeek;03PP;00;Bernadetteschool;5738AH;MARIAHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1659;Laarbeek;5738;Laarbeek;03PP;00;Bernadetteschool;5738AH;MARIAHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;16;17;21;19;28;25;25;19;2;0;0;0;0;0;0;0;0;0;0;0;0;0;172
20171001;1659;Laarbeek;5741;Laarbeek;03PP;00;Bernadetteschool;5738AH;MARIAHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1659;Laarbeek;5421;Gemert-Bakel;06WD;00;De Sprankel;5737CB;LIESHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1659;Laarbeek;5423;Gemert-Bakel;06WD;00;De Sprankel;5737CB;LIESHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1659;Laarbeek;5673;Nuenen, Gerwen en Nederwetten;06WD;00;De Sprankel;5737CB;LIESHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1659;Laarbeek;5694;Son en Breugel;06WD;00;De Sprankel;5737CB;LIESHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1659;Laarbeek;5735;Laarbeek;06WD;00;De Sprankel;5737CB;LIESHOUT;Noord-Brabant;Bo;Rooms-Katholiek;40557;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
