PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1685;Landerd;  30;ander land;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1685;Landerd;5348;Oss;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1685;Landerd;5351;Oss;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1685;Landerd;5373;Oss;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1685;Landerd;5374;Landerd;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;17;32;21;19;22;20;21;21;6;0;0;0;0;0;0;0;0;0;0;0;0;0;179
20171001;1685;Landerd;5375;Landerd;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;2;0;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1685;Landerd;5384;Bernheze;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1685;Landerd;5411;Landerd;05JE;00;Basissch Den Omgang;5374HT;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;2;2;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;1685;Landerd;5361;Grave;07SL;00;De Kreek'l;5375AG;REEK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1685;Landerd;5363;Grave;07SL;00;De Kreek'l;5375AG;REEK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1685;Landerd;5374;Landerd;07SL;00;De Kreek'l;5375AG;REEK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1685;Landerd;5375;Landerd;07SL;00;De Kreek'l;5375AG;REEK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;18;14;11;15;15;24;13;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;124
20171001;1685;Landerd;5411;Landerd;07SL;00;De Kreek'l;5375AG;REEK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1685;Landerd;5453;Mill en Sint Hubert;07SL;00;De Kreek'l;5375AG;REEK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1685;Landerd;  20;Duitsland;07VP;00;BS De Regenboog;5374AC;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1685;Landerd;  30;ander land;07VP;00;BS De Regenboog;5374AC;SCHAIJK;Noord-Brabant;Bo;Rooms-Katholiek;48348;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
