PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;882;Landgraaf;  30;ander land;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6371;Landgraaf;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;1;3;1;4;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;882;Landgraaf;6372;Landgraaf;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;38;39;37;56;46;38;36;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;318
20171001;882;Landgraaf;6373;Landgraaf;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;0;1;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;882;Landgraaf;6374;Landgraaf;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6411;Heerlen;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6412;Heerlen;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;882;Landgraaf;6414;Heerlen;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;882;Landgraaf;6415;Heerlen;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;882;Landgraaf;6416;Heerlen;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;5;1;8;2;1;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;882;Landgraaf;6418;Heerlen;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;882;Landgraaf;6419;Heerlen;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6447;Onderbanken;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6462;Kerkrade;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6464;Kerkrade;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6466;Kerkrade;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6467;Kerkrade;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;882;Landgraaf;6471;Kerkrade;00CG;00;De Harlekijn;6372AC;LANDGRAAF;Limburg;Bo;Openbaar;41516;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;882;Landgraaf;  20;Duitsland;04SJ;00;Oec Basissch D Wegwijzer;6374AN;LANDGRAAF;Limburg;Bo;Samenwerking PC, RK;41516;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;882;Landgraaf;  30;ander land;04SJ;00;Oec Basissch D Wegwijzer;6374AN;LANDGRAAF;Limburg;Bo;Samenwerking PC, RK;41516;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;882;Landgraaf;  40;Onbekend;04SJ;00;Oec Basissch D Wegwijzer;6374AN;LANDGRAAF;Limburg;Bo;Samenwerking PC, RK;41516;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;882;Landgraaf;6371;Landgraaf;04SJ;00;Oec Basissch D Wegwijzer;6374AN;LANDGRAAF;Limburg;Bo;Samenwerking PC, RK;41516;0;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;882;Landgraaf;6372;Landgraaf;04SJ;00;Oec Basissch D Wegwijzer;6374AN;LANDGRAAF;Limburg;Bo;Samenwerking PC, RK;41516;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;882;Landgraaf;6373;Landgraaf;04SJ;00;Oec Basissch D Wegwijzer;6374AN;LANDGRAAF;Limburg;Bo;Samenwerking PC, RK;41516;0;0;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
