PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1621;Lansingerland;2631;Pijnacker-Nootdorp;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1621;Lansingerland;2641;Pijnacker-Nootdorp;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1621;Lansingerland;2642;Pijnacker-Nootdorp;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1621;Lansingerland;2651;Lansingerland;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;9;2;6;7;5;4;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45
20171001;1621;Lansingerland;2652;Lansingerland;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;4;3;3;4;2;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;1621;Lansingerland;2661;Lansingerland;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;2;5;5;4;2;6;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;1621;Lansingerland;2662;Lansingerland;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;2;2;3;3;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;1621;Lansingerland;2665;Lansingerland;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;1;0;4;5;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1621;Lansingerland;3046;Rotterdam;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1621;Lansingerland;3052;Rotterdam;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1621;Lansingerland;3053;Rotterdam;03HH;00;Basisschool Kon Beatrix;2651CP;BERKEL EN RODENRIJS;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1621;Lansingerland;  30;ander land;05MJ;00;Basisschool Boterdorp;2661AP;BERGSCHENHOEK;Zuid-Holland;Bo;Protestants-Christelijk;41487;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1621;Lansingerland;2651;Lansingerland;05MJ;00;Basisschool Boterdorp;2661AP;BERGSCHENHOEK;Zuid-Holland;Bo;Protestants-Christelijk;41487;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1621;Lansingerland;2652;Lansingerland;05MJ;00;Basisschool Boterdorp;2661AP;BERGSCHENHOEK;Zuid-Holland;Bo;Protestants-Christelijk;41487;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
