PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;417;Laren;1078;Amsterdam;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;417;Laren;1082;Amsterdam;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;417;Laren;1251;Laren;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;12;15;14;11;21;13;19;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;119
20171001;417;Laren;1252;Laren;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;417;Laren;1261;Blaricum;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;6;6;10;10;8;2;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58
20171001;417;Laren;1271;Huizen;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;417;Laren;1272;Huizen;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;1;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;417;Laren;1358;Almere;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;417;Laren;3755;Eemnes;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;417;Laren;3831;Leusden;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;417;Laren;5263;Vught;04MN;00;De Gooische School;1251GV;LAREN NH;Noord-Holland;Bo;Algemeen bijzonder;31552;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;417;Laren;  30;ander land;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;417;Laren;1214;Hilversum;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;417;Laren;1251;Laren;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;32;36;44;41;41;38;33;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;299
20171001;417;Laren;1252;Laren;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;1;0;3;1;3;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;417;Laren;1261;Blaricum;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;1;1;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;417;Laren;1272;Huizen;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;417;Laren;1343;Almere;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;417;Laren;1402;Gooise Meren;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;417;Laren;1403;Gooise Meren;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;417;Laren;3734;Zeist;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;417;Laren;3755;Eemnes;04ZM;00;De Binckhorst Sint Jan;1251NA;LAREN NH;Noord-Holland;Bo;Rooms-Katholiek;78912;0;6;4;5;4;4;8;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
