PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;22;Leek;9351;Leek;08BV;00;CPO De Delta;9354BR;ZEVENHUIZEN GN;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;22;Leek;9354;Leek;08BV;00;CPO De Delta;9354BR;ZEVENHUIZEN GN;Groningen;Bo;Protestants-Christelijk;41571;0;10;8;7;7;8;9;15;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;72
20171001;22;Leek;9356;Leek;08BV;00;CPO De Delta;9354BR;ZEVENHUIZEN GN;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;22;Leek;9364;Marum;08BV;00;CPO De Delta;9354BR;ZEVENHUIZEN GN;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;22;Leek;9366;Marum;08BV;00;CPO De Delta;9354BR;ZEVENHUIZEN GN;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;22;Leek;8433;Ooststellingwerf;11FK;00;De Stapsteen;9351KN;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;22;Leek;8435;Ooststellingwerf;11FK;00;De Stapsteen;9351KN;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;22;Leek;9301;Noordenveld;11FK;00;De Stapsteen;9351KN;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;22;Leek;9351;Leek;11FK;00;De Stapsteen;9351KN;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;18;15;15;14;23;21;28;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;156
20171001;22;Leek;9355;Leek;11FK;00;De Stapsteen;9351KN;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;22;Leek;9356;Leek;11FK;00;De Stapsteen;9351KN;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;2;5;5;4;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;22;Leek;9361;Marum;11FK;00;De Stapsteen;9351KN;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;22;Leek;6049;Roermond;11RI;00;CBS Van Panhuys;9351XZ;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;22;Leek;9311;Noordenveld;11RI;00;CBS Van Panhuys;9351XZ;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;22;Leek;9312;Noordenveld;11RI;00;CBS Van Panhuys;9351XZ;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;22;Leek;9351;Leek;11RI;00;CBS Van Panhuys;9351XZ;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;29;27;36;20;30;23;21;20;4;0;0;0;0;0;0;0;0;0;0;0;0;0;210
20171001;22;Leek;9354;Leek;11RI;00;CBS Van Panhuys;9351XZ;LEEK;Groningen;Bo;Protestants-Christelijk;41571;0;1;2;2;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
