PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;546;Leiden;1431;Aalsmeer;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;546;Leiden;2041;Zandvoort;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;546;Leiden;2114;Bloemendaal;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;546;Leiden;2133;Haarlemmermeer;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
20171001;546;Leiden;2134;Haarlemmermeer;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;546;Leiden;2135;Haarlemmermeer;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;546;Leiden;2151;Haarlemmermeer;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;2;1;2;1;1;0;0;0;0;0;0;0;0;7
20171001;546;Leiden;2152;Haarlemmermeer;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;4
20171001;546;Leiden;2157;Haarlemmermeer;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;546;Leiden;2161;Lisse;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN;Zuid-Holland;Vso;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
