PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1916;Leidschendam-Voorburg;2261;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;1;4;2;3;2;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;1916;Leidschendam-Voorburg;2263;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1916;Leidschendam-Voorburg;2264;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;2;2;2;5;2;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;1916;Leidschendam-Voorburg;2265;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1916;Leidschendam-Voorburg;2266;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1916;Leidschendam-Voorburg;2271;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;2;0;1;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;1916;Leidschendam-Voorburg;2272;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;40;42;33;38;28;31;35;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;282
20171001;1916;Leidschendam-Voorburg;2273;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;19;15;16;18;16;17;13;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;131
20171001;1916;Leidschendam-Voorburg;2274;Leidschendam-Voorburg;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;0;1;3;1;3;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;1916;Leidschendam-Voorburg;2492;'s-Gravenhage;03TQ;00;Basisschool Essesteijn;2272EB;VOORBURG;Zuid-Holland;Bo;Algemeen bijzonder;41447;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
