PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;995;Lelystad;1356;Almere;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;995;Lelystad;3849;Harderwijk;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;995;Lelystad;8211;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;995;Lelystad;8212;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;995;Lelystad;8219;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;995;Lelystad;8226;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;5;6;3;6;3;4;7;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20171001;995;Lelystad;8231;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;995;Lelystad;8241;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;995;Lelystad;8242;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;995;Lelystad;8243;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;995;Lelystad;8244;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;995;Lelystad;8245;Lelystad;00GZ;00;Maharishi Basisschool;8226LP;LELYSTAD;Flevoland;Bo;Algemeen bijzonder;41335;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;995;Lelystad;8211;Lelystad;06RU;00;Basisschool De Helmstok;8226GS;LELYSTAD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;995;Lelystad;8212;Lelystad;06RU;00;Basisschool De Helmstok;8226GS;LELYSTAD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;1;3;2;2;4;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;995;Lelystad;8218;Lelystad;06RU;00;Basisschool De Helmstok;8226GS;LELYSTAD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;995;Lelystad;8219;Lelystad;06RU;00;Basisschool De Helmstok;8226GS;LELYSTAD;Flevoland;Bo;Gereformeerd vrijgemaakt;41632;0;1;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
