PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1640;Leudal;5751;Deurne;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1640;Leudal;5758;Deurne;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1640;Leudal;5981;Peel en Maas;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1640;Leudal;5984;Peel en Maas;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1640;Leudal;5988;Peel en Maas;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1640;Leudal;6001;Weert;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1640;Leudal;6002;Weert;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1640;Leudal;6004;Weert;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1640;Leudal;6005;Weert;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1640;Leudal;6013;Leudal;00UT;00;BLO School Lataste;6085AT;HORN;Limburg;So;Rooms-Katholiek;41008;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
