PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;553;Lisse;2151;Haarlemmermeer;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;553;Lisse;2152;Haarlemmermeer;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;553;Lisse;2161;Lisse;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;1;4;0;1;3;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;553;Lisse;2162;Lisse;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;2;1;3;5;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;553;Lisse;2163;Lisse;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;553;Lisse;2165;Haarlemmermeer;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;553;Lisse;2171;Teylingen;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;1;1;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;553;Lisse;2172;Teylingen;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;553;Lisse;2182;Hillegom;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;553;Lisse;2191;Noordwijkerhout;02SO;00;SSBO Don Bosco;2162VW;LISSE;Zuid-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
