PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;140;Littenseradiel;8637;Littenseradiel;03GT;00;Chr Basissch De Foareker;8734GL;EASTEREIN;Friesland;Bo;Protestants-Christelijk;42604;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;140;Littenseradiel;8734;Littenseradiel;03GT;00;Chr Basissch De Foareker;8734GL;EASTEREIN;Friesland;Bo;Protestants-Christelijk;42604;0;9;7;14;6;9;11;14;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;140;Littenseradiel;8737;Littenseradiel;03GT;00;Chr Basissch De Foareker;8734GL;EASTEREIN;Friesland;Bo;Protestants-Christelijk;42604;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;140;Littenseradiel;8741;S∑dwest-Frysl‘n;03GT;00;Chr Basissch De Foareker;8734GL;EASTEREIN;Friesland;Bo;Protestants-Christelijk;42604;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;140;Littenseradiel;8835;Littenseradiel;03GT;00;Chr Basissch De Foareker;8734GL;EASTEREIN;Friesland;Bo;Protestants-Christelijk;42604;0;1;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;140;Littenseradiel;8621;S∑dwest-Frysl‘n;04IZ;00;Chr Basissch D Earnewjuk;8835XT;EASTERLITTENS;Friesland;Bo;Protestants-Christelijk;42604;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;140;Littenseradiel;8835;Littenseradiel;04IZ;00;Chr Basissch D Earnewjuk;8835XT;EASTERLITTENS;Friesland;Bo;Protestants-Christelijk;42604;0;8;1;6;4;2;3;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;140;Littenseradiel;8801;Franekeradeel;04TB;00;Chr Basissch D Grunslach;8842LJ;WJELSRYP;Friesland;Bo;Protestants-Christelijk;42604;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;140;Littenseradiel;8841;Littenseradiel;04TB;00;Chr Basissch D Grunslach;8842LJ;WJELSRYP;Friesland;Bo;Protestants-Christelijk;42604;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;140;Littenseradiel;8842;Littenseradiel;04TB;00;Chr Basissch D Grunslach;8842LJ;WJELSRYP;Friesland;Bo;Protestants-Christelijk;42604;0;2;5;6;3;2;3;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;140;Littenseradiel;8629;S∑dwest-Frysl‘n;05BS;00;Sint Bonifaciusschool;8736JB;REAHUS;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;140;Littenseradiel;8632;S∑dwest-Frysl‘n;05BS;00;Sint Bonifaciusschool;8736JB;REAHUS;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;2;3;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;140;Littenseradiel;8642;Littenseradiel;05BS;00;Sint Bonifaciusschool;8736JB;REAHUS;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;140;Littenseradiel;8736;Littenseradiel;05BS;00;Sint Bonifaciusschool;8736JB;REAHUS;Friesland;Bo;Rooms-Katholiek;41000;0;1;3;1;4;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;140;Littenseradiel;8737;Littenseradiel;05BS;00;Sint Bonifaciusschool;8736JB;REAHUS;Friesland;Bo;Rooms-Katholiek;41000;0;1;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;140;Littenseradiel;8741;S∑dwest-Frysl‘n;05BS;00;Sint Bonifaciusschool;8736JB;REAHUS;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;140;Littenseradiel;9027;Littenseradiel;05PU;00;Chr Basissch De Reinboge;9027BE;HILAARD;Friesland;Bo;Protestants-Christelijk;42604;0;3;1;5;4;2;1;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;140;Littenseradiel;8642;Littenseradiel;05UY;00;Basisschool It Funemint;8731CD;WOMMELS;Friesland;Bo;Protestants-Christelijk;42604;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;140;Littenseradiel;8701;S∑dwest-Frysl‘n;05UY;00;Basisschool It Funemint;8731CD;WOMMELS;Friesland;Bo;Protestants-Christelijk;42604;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;140;Littenseradiel;8731;Littenseradiel;05UY;00;Basisschool It Funemint;8731CD;WOMMELS;Friesland;Bo;Protestants-Christelijk;42604;0;14;10;12;20;15;15;18;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;126
20171001;140;Littenseradiel;8732;Littenseradiel;05UY;00;Basisschool It Funemint;8731CD;WOMMELS;Friesland;Bo;Protestants-Christelijk;42604;0;2;1;0;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;140;Littenseradiel;8734;Littenseradiel;05UY;00;Basisschool It Funemint;8731CD;WOMMELS;Friesland;Bo;Protestants-Christelijk;42604;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;140;Littenseradiel;8735;Littenseradiel;05UY;00;Basisschool It Funemint;8731CD;WOMMELS;Friesland;Bo;Protestants-Christelijk;42604;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
