PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;331;Lopik;3404;IJsselstein;03YO;00;Sint Victor;3405XA;BENSCHOP;Utrecht;Bo;Rooms-Katholiek;77975;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3405;Lopik;03YO;00;Sint Victor;3405XA;BENSCHOP;Utrecht;Bo;Rooms-Katholiek;77975;0;20;10;10;9;11;15;14;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;111
20171001;331;Lopik;3415;Lopik;03YO;00;Sint Victor;3405XA;BENSCHOP;Utrecht;Bo;Rooms-Katholiek;77975;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;331;Lopik;3401;IJsselstein;04MV;00;Eben Haezerschool;3405XK;BENSCHOP;Utrecht;Bo;Protestants-Christelijk;41439;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3405;Lopik;04MV;00;Eben Haezerschool;3405XK;BENSCHOP;Utrecht;Bo;Protestants-Christelijk;41439;0;18;18;14;19;22;14;20;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;144
20171001;331;Lopik;3417;Montfoort;04MV;00;Eben Haezerschool;3405XK;BENSCHOP;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3421;Oudewater;04MV;00;Eben Haezerschool;3405XK;BENSCHOP;Utrecht;Bo;Protestants-Christelijk;41439;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;331;Lopik;3411;Lopik;05PV;00;Basisschool Eben Haezer;3413MP;JAARSVELD;Utrecht;Bo;Protestants-Christelijk;41439;0;2;0;1;1;2;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;331;Lopik;3412;Lopik;05PV;00;Basisschool Eben Haezer;3413MP;JAARSVELD;Utrecht;Bo;Protestants-Christelijk;41439;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;331;Lopik;3413;Lopik;05PV;00;Basisschool Eben Haezer;3413MP;JAARSVELD;Utrecht;Bo;Protestants-Christelijk;41439;0;3;2;3;2;0;2;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;331;Lopik;2855;Krimpenerwaard;05SI;00;Eben Haezerschool;3415PW;POLSBROEK;Utrecht;Bo;Protestants-Christelijk;41439;0;5;4;1;4;3;2;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;331;Lopik;2871;Krimpenerwaard;05SI;00;Eben Haezerschool;3415PW;POLSBROEK;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3405;Lopik;05SI;00;Eben Haezerschool;3415PW;POLSBROEK;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3415;Lopik;05SI;00;Eben Haezerschool;3415PW;POLSBROEK;Utrecht;Bo;Protestants-Christelijk;41439;0;17;6;14;11;12;8;12;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;96
20171001;331;Lopik;3401;IJsselstein;05WZ;00;PC Sch vr BSO Immanuel;3412KM;LOPIKERKAPEL;Utrecht;Bo;Protestants-Christelijk;41439;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3411;Lopik;05WZ;00;PC Sch vr BSO Immanuel;3412KM;LOPIKERKAPEL;Utrecht;Bo;Protestants-Christelijk;41439;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;331;Lopik;3412;Lopik;05WZ;00;PC Sch vr BSO Immanuel;3412KM;LOPIKERKAPEL;Utrecht;Bo;Protestants-Christelijk;41439;0;5;8;7;7;5;4;11;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;61
20171001;331;Lopik;3956;Utrechtse Heuvelrug;05WZ;00;PC Sch vr BSO Immanuel;3412KM;LOPIKERKAPEL;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;7412;Deventer;05WZ;00;PC Sch vr BSO Immanuel;3412KM;LOPIKERKAPEL;Utrecht;Bo;Protestants-Christelijk;41439;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;  10;Belgie;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;1333;Almere;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;2871;Krimpenerwaard;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;2872;Krimpenerwaard;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;331;Lopik;3411;Lopik;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;28;23;28;23;25;26;26;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;212
20171001;331;Lopik;3412;Lopik;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3413;Lopik;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;1;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;331;Lopik;3561;Utrecht;06LI;00;Jan Bunnik Basisschool;3411WN;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;2865;Krimpenerwaard;07KF;00;Basisschool De Regenboog;3411XJ;LOPIK;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3411;Lopik;07KF;00;Basisschool De Regenboog;3411XJ;LOPIK;Utrecht;Bo;Protestants-Christelijk;41439;0;14;8;19;16;19;18;28;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20171001;331;Lopik;3413;Lopik;07KF;00;Basisschool De Regenboog;3411XJ;LOPIK;Utrecht;Bo;Protestants-Christelijk;41439;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3415;Lopik;07KF;00;Basisschool De Regenboog;3411XJ;LOPIK;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;331;Lopik;3411;Lopik;07KH;00;De Nieuwe Wiel;3411XB;LOPIK;Utrecht;Bo;Protestants-Christelijk;41286;0;15;17;19;15;18;17;21;26;4;0;0;0;0;0;0;0;0;0;0;0;0;0;152
20171001;331;Lopik;3413;Lopik;07KH;00;De Nieuwe Wiel;3411XB;LOPIK;Utrecht;Bo;Protestants-Christelijk;41286;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;331;Lopik;3415;Lopik;07KH;00;De Nieuwe Wiel;3411XB;LOPIK;Utrecht;Bo;Protestants-Christelijk;41286;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;2872;Krimpenerwaard;08EC;00;De Zomergaard;3411WN;LOPIK;Utrecht;Bo;Openbaar;77975;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3411;Lopik;08EC;00;De Zomergaard;3411WN;LOPIK;Utrecht;Bo;Openbaar;77975;0;10;7;10;11;8;7;10;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;69
20171001;331;Lopik;3413;Lopik;08EC;00;De Zomergaard;3411WN;LOPIK;Utrecht;Bo;Openbaar;77975;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3431;Nieuwegein;08EC;00;De Zomergaard;3411WN;LOPIK;Utrecht;Bo;Openbaar;77975;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;2865;Krimpenerwaard;08ND;00;Gerardus Majellaschool;3411ED;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;331;Lopik;2871;Krimpenerwaard;08ND;00;Gerardus Majellaschool;3411ED;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;331;Lopik;2872;Krimpenerwaard;08ND;00;Gerardus Majellaschool;3411ED;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3405;Lopik;08ND;00;Gerardus Majellaschool;3411ED;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;331;Lopik;3411;Lopik;08ND;00;Gerardus Majellaschool;3411ED;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;9;8;6;8;12;8;17;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;80
20171001;331;Lopik;3415;Lopik;08ND;00;Gerardus Majellaschool;3411ED;LOPIK;Utrecht;Bo;Rooms-Katholiek;77975;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;331;Lopik;3405;Lopik;15BO;00;Chr Basisschool Samuel;3415RE;POLSBROEK;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;0;1;4;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;331;Lopik;3415;Lopik;15BO;00;Chr Basisschool Samuel;3415RE;POLSBROEK;Utrecht;Bo;Protestants-Christelijk;41439;0;2;3;3;3;3;2;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;331;Lopik;3425;Oudewater;15BO;00;Chr Basisschool Samuel;3415RE;POLSBROEK;Utrecht;Bo;Protestants-Christelijk;41439;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
