PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;24;Loppersum;9914;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;24;Loppersum;9918;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;24;Loppersum;9919;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;2;1;2;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;24;Loppersum;9921;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;24;Loppersum;9922;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;24;Loppersum;9959;Bedum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;24;Loppersum;9991;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;3;4;4;4;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;24;Loppersum;9992;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;24;Loppersum;9993;Loppersum;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;24;Loppersum;9995;Eemsmond;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;1;1;2;1;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;24;Loppersum;9998;Eemsmond;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;24;Loppersum;9999;Eemsmond;03HO;00;GBS Klim-op;9991CM;MIDDELSTUM;Groningen;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;24;Loppersum;9991;Loppersum;04HO;00;Wicher Zitsema-School;9991BN;MIDDELSTUM;Groningen;Bo;Protestants-Christelijk;41558;0;10;9;9;14;7;8;15;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;80
20171001;24;Loppersum;9992;Loppersum;04HO;00;Wicher Zitsema-School;9991BN;MIDDELSTUM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;24;Loppersum;9993;Loppersum;04HO;00;Wicher Zitsema-School;9991BN;MIDDELSTUM;Groningen;Bo;Protestants-Christelijk;41558;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;24;Loppersum;9994;Loppersum;04HO;00;Wicher Zitsema-School;9991BN;MIDDELSTUM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;24;Loppersum;9995;Eemsmond;04HO;00;Wicher Zitsema-School;9991BN;MIDDELSTUM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;24;Loppersum;9998;Eemsmond;04HO;00;Wicher Zitsema-School;9991BN;MIDDELSTUM;Groningen;Bo;Protestants-Christelijk;41558;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;24;Loppersum;9999;Eemsmond;04HO;00;Wicher Zitsema-School;9991BN;MIDDELSTUM;Groningen;Bo;Protestants-Christelijk;41558;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;24;Loppersum;1015;Amsterdam;07ZS;00;Chr Basisschool Roemte;9919TG;LOPPERSUM;Groningen;Bo;Protestants-Christelijk;41558;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
