PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;168;Losser;7524;Enschede;02GD;05;De Meander;7581PW;LOSSER;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;3
20171001;168;Losser;7534;Enschede;02GD;05;De Meander;7581PW;LOSSER;Overijssel;So;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;168;Losser;7534;Enschede;02GD;05;De Meander;7581PW;LOSSER;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
20171001;168;Losser;7535;Enschede;02GD;05;De Meander;7581PW;LOSSER;Overijssel;So;Algemeen bijzonder;25859;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;168;Losser;7544;Enschede;02GD;05;De Meander;7581PW;LOSSER;Overijssel;So;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;168;Losser;7546;Enschede;02GD;05;De Meander;7581PW;LOSSER;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;168;Losser;7557;Hengelo;02GD;05;De Meander;7581PW;LOSSER;Overijssel;So;Algemeen bijzonder;25859;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;168;Losser;7576;Oldenzaal;02GD;05;De Meander;7581PW;LOSSER;Overijssel;So;Algemeen bijzonder;25859;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;168;Losser;7581;Losser;02GD;05;De Meander;7581PW;LOSSER;Overijssel;So;Algemeen bijzonder;25859;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;168;Losser;7581;Losser;02GD;05;De Meander;7581PW;LOSSER;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;0;0;0;0;0;0;0;0;6
20171001;168;Losser;7615;Tubbergen;02GD;05;De Meander;7581PW;LOSSER;Overijssel;Vso;Algemeen bijzonder;25859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;168;Losser;  20;Duitsland;03XA;00;Plechelmus-School;7587AL;DE LUTTE;Overijssel;Bo;Rooms-Katholiek;75219;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;168;Losser;  30;ander land;03XA;00;Plechelmus-School;7587AL;DE LUTTE;Overijssel;Bo;Rooms-Katholiek;75219;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
