PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1641;Maasgouw;6099;Maasgouw;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;Limburg;Bo;Rooms-Katholiek;41797;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1641;Maasgouw;6101;Echt-Susteren;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;Limburg;Bo;Rooms-Katholiek;41797;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1641;Maasgouw;6107;Maasgouw;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;Limburg;Bo;Rooms-Katholiek;41797;0;14;10;13;13;17;12;10;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;102
20171001;1641;Maasgouw;6109;Maasgouw;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;Limburg;Bo;Rooms-Katholiek;41797;0;5;4;4;3;3;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;1641;Maasgouw;4209;Giessenlanden;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6012;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1641;Maasgouw;6013;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1641;Maasgouw;6014;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1641;Maasgouw;6015;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1641;Maasgouw;6017;Maasgouw;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1641;Maasgouw;6019;Maasgouw;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1641;Maasgouw;6037;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1641;Maasgouw;6042;Roermond;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6044;Roermond;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6045;Roermond;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1641;Maasgouw;6065;Roerdalen;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6067;Maasgouw;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6071;Roermond;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6081;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;1;2;1;0;4;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;1641;Maasgouw;6082;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1641;Maasgouw;6085;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1641;Maasgouw;6086;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1641;Maasgouw;6088;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;1;2;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1641;Maasgouw;6092;Nederweert;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6093;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;1;2;1;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1641;Maasgouw;6095;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1641;Maasgouw;6096;Leudal;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1641;Maasgouw;6097;Maasgouw;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1641;Maasgouw;6099;Maasgouw;00TN;00;SSBO Op de Tump;6097AH;HEEL;Limburg;Sbo;Algemeen bijzonder;23961;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1641;Maasgouw;5988;Peel en Maas;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6001;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6002;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6003;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;So;Rooms-Katholiek;44813;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6003;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;1;0;0;0;0;0;0;6
20171001;1641;Maasgouw;6004;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;So;Rooms-Katholiek;44813;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6004;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;0;0;0;0;0;6
20171001;1641;Maasgouw;6005;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6006;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;So;Rooms-Katholiek;44813;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6006;Weert;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1641;Maasgouw;6014;Leudal;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6015;Leudal;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;So;Rooms-Katholiek;44813;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1641;Maasgouw;6015;Leudal;01RB;00;ZMLK De Maaskei;6097NA;HEEL;Limburg;Vso;Rooms-Katholiek;44813;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
