PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;556;Maassluis;2676;Westland;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;556;Maassluis;3141;Maassluis;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;1;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;556;Maassluis;3142;Maassluis;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;0;2;1;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;556;Maassluis;3143;Maassluis;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;556;Maassluis;3144;Maassluis;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;11;5;4;3;3;11;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;48
20171001;556;Maassluis;3145;Maassluis;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;8;21;24;20;15;16;10;29;6;0;0;0;0;0;0;0;0;0;0;0;0;0;149
20171001;556;Maassluis;3146;Maassluis;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;1;1;1;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;556;Maassluis;3147;Maassluis;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;556;Maassluis;3155;Midden-Delfland;08WT;00;IKC De Regenboog;3145NG;MAASSLUIS;Zuid-Holland;Bo;Protestants-Christelijk;41338;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;556;Maassluis;3131;Vlaardingen;09AG;00;Kardinaal Alfrink;3145SX;MAASSLUIS;Zuid-Holland;Bo;Rooms-Katholiek;41240;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
