PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;935;Maastricht;  10;Belgie;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;  10;Belgie;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6116;Echt-Susteren;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6121;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6121;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6124;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6127;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;935;Maastricht;6129;Stein;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;3
20171001;935;Maastricht;6132;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6135;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;4
20171001;935;Maastricht;6136;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6151;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
20171001;935;Maastricht;6161;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
20171001;935;Maastricht;6164;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;935;Maastricht;6166;Sittard-Geleen;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;3
20171001;935;Maastricht;6171;Stein;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6181;Stein;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6181;Stein;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;5
20171001;935;Maastricht;6191;Beek;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
20171001;935;Maastricht;6211;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3
20171001;935;Maastricht;6212;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6213;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3
20171001;935;Maastricht;6214;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;935;Maastricht;6214;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2
20171001;935;Maastricht;6215;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;935;Maastricht;6215;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;1;3;2;4;3;0;0;0;0;0;0;0;0;13
20171001;935;Maastricht;6216;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;0;0;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;935;Maastricht;6216;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;3
20171001;935;Maastricht;6217;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;3;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;935;Maastricht;6217;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;1;2;1;1;3;2;0;0;0;0;0;0;0;0;10
20171001;935;Maastricht;6218;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;So;Rooms-Katholiek;41373;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;935;Maastricht;6218;Maastricht;00SH;00;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;Limburg;Vso;Rooms-Katholiek;41373;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;4
