PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;25;Marum;8426;Ooststellingwerf;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9201;Smallingerland;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9248;Opsterland;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9312;Noordenveld;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9351;Leek;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;1;3;0;0;1;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;25;Marum;9354;Leek;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;25;Marum;9355;Leek;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;25;Marum;9356;Leek;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;1;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;25;Marum;9361;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9362;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9363;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;5;4;8;4;5;3;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;25;Marum;9364;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;5;6;8;5;7;5;4;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;25;Marum;9365;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;2;5;2;6;1;2;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;25;Marum;9366;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9367;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;25;Marum;9471;Tynaarlo;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9601;Hoogezand-Sappemeer;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9713;Groningen;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9728;Groningen;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9744;Groningen;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9824;Marum;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;1;1;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;25;Marum;9828;Leek;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;25;Marum;9831;Zuidhorn;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9861;Grootegast;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9862;Grootegast;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9865;Grootegast;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9866;Grootegast;04OE;00;Jenaplanschool 't Sterrenpad;9364PB;NUIS;Groningen;Bo;Protestants-Christelijk;34789;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9248;Opsterland;05UR;00;CBS De Wegwijzer;9367RM;DE WILP GN;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;1;2;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;25;Marum;9363;Marum;05UR;00;CBS De Wegwijzer;9367RM;DE WILP GN;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;4;1;1;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;25;Marum;9364;Marum;05UR;00;CBS De Wegwijzer;9367RM;DE WILP GN;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;25;Marum;9366;Marum;05UR;00;CBS De Wegwijzer;9367RM;DE WILP GN;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;25;Marum;9367;Marum;05UR;00;CBS De Wegwijzer;9367RM;DE WILP GN;Groningen;Bo;Protestants-Christelijk;41571;0;7;13;9;9;8;4;16;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;77
20171001;25;Marum;9355;Leek;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9356;Leek;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;2;2;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;25;Marum;9359;Leek;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;25;Marum;9361;Marum;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;4;4;0;5;4;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;25;Marum;9362;Marum;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;2;2;2;1;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;25;Marum;9365;Marum;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9825;Marum;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;2;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;25;Marum;9861;Grootegast;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9863;Grootegast;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9864;Grootegast;06PQ;00;SWS De Klimboom;9362RA;BOERAKKER;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9223;Smallingerland;06QT;00;CBS De Bron;9363BC;MARUM;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;25;Marum;9351;Leek;06QT;00;CBS De Bron;9363BC;MARUM;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9361;Marum;06QT;00;CBS De Bron;9363BC;MARUM;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;25;Marum;9363;Marum;06QT;00;CBS De Bron;9363BC;MARUM;Groningen;Bo;Protestants-Christelijk;41571;0;26;41;35;31;29;33;31;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;254
