PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;420;Medemblik;1476;Edam-Volendam;04MK;00;De Wegwijzer;1674NP;OPPERDOES;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;420;Medemblik;1671;Medemblik;04MK;00;De Wegwijzer;1674NP;OPPERDOES;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;420;Medemblik;1674;Medemblik;04MK;00;De Wegwijzer;1674NP;OPPERDOES;Noord-Holland;Bo;Protestants-Christelijk;79874;0;12;15;16;26;12;17;16;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;129
20171001;420;Medemblik;1676;Medemblik;04MK;00;De Wegwijzer;1674NP;OPPERDOES;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;420;Medemblik;1679;Medemblik;04MK;00;De Wegwijzer;1674NP;OPPERDOES;Noord-Holland;Bo;Protestants-Christelijk;79874;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;420;Medemblik;1082;Amsterdam;05CS;00;Jozefschool;1671MA;MEDEMBLIK;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;420;Medemblik;1671;Medemblik;05CS;00;Jozefschool;1671MA;MEDEMBLIK;Noord-Holland;Bo;Rooms-Katholiek;75375;0;36;42;33;37;33;38;31;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;276
20171001;420;Medemblik;1674;Medemblik;05CS;00;Jozefschool;1671MA;MEDEMBLIK;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;420;Medemblik;1676;Medemblik;05CS;00;Jozefschool;1671MA;MEDEMBLIK;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;420;Medemblik;1679;Medemblik;05CS;00;Jozefschool;1671MA;MEDEMBLIK;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;420;Medemblik;1693;Medemblik;05CS;00;Jozefschool;1671MA;MEDEMBLIK;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;420;Medemblik;1774;Hollands Kroon;05CS;00;Jozefschool;1671MA;MEDEMBLIK;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;420;Medemblik;1621;Hoorn;05CX;00;St Nicolaas school;1688CR;NIBBIXWOUD;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;420;Medemblik;1622;Hoorn;05CX;00;St Nicolaas school;1688CR;NIBBIXWOUD;Noord-Holland;Bo;Rooms-Katholiek;75375;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
