PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;938;Meerssen;6171;Stein;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;938;Meerssen;6181;Stein;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;938;Meerssen;6223;Maastricht;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;1;1;0;3;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;938;Meerssen;6225;Maastricht;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6231;Meerssen;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;3;3;7;5;8;4;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
20171001;938;Meerssen;6235;Meerssen;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6237;Meerssen;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6241;Meerssen;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;4;11;9;8;8;8;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20171001;938;Meerssen;6243;Meerssen;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;2;3;0;4;1;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;938;Meerssen;6301;Valkenburg aan de Geul;00DN;00;De Bundeling;6241BB;BUNDE;Limburg;Bo;Openbaar;42669;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;5427;Boekel;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6171;Stein;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;938;Meerssen;6216;Maastricht;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6222;Maastricht;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6223;Maastricht;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;5;1;7;4;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;938;Meerssen;6224;Maastricht;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6225;Maastricht;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6226;Maastricht;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;938;Meerssen;6231;Meerssen;03WE;00;Basisschool Franciscus;6241BM;BUNDE;Limburg;Bo;Rooms-Katholiek;41506;0;2;1;1;5;3;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
