PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1948;Meierijstad;5463;Meierijstad;03MH;00;Petrus en Paulus School;5466RS;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1948;Meierijstad;5466;Meierijstad;03MH;00;Petrus en Paulus School;5466RS;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;4;8;16;9;11;10;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20171001;1948;Meierijstad;5482;Meierijstad;03MH;00;Petrus en Paulus School;5466RS;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1948;Meierijstad;5465;Meierijstad;03QN;00;Basisschool Edith Stein;5465RJ;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;17;16;17;17;11;17;11;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123
20171001;1948;Meierijstad;5469;Meierijstad;03QN;00;Basisschool Edith Stein;5465RJ;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1948;Meierijstad;5491;Meierijstad;03QN;00;Basisschool Edith Stein;5465RJ;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1948;Meierijstad;5406;Uden;03VI;00;Basissch Maria ter Heide;5464VR;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;1;0;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1948;Meierijstad;5462;Meierijstad;03VI;00;Basissch Maria ter Heide;5464VR;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1948;Meierijstad;5464;Meierijstad;03VI;00;Basissch Maria ter Heide;5464VR;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;12;11;10;8;13;18;14;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20171001;1948;Meierijstad;5467;Meierijstad;03VI;00;Basissch Maria ter Heide;5464VR;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1948;Meierijstad;5422;Gemert-Bakel;06HU;00;RK Basissch St Nicolaas;5469PT;ERP;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1948;Meierijstad;5469;Meierijstad;06HU;00;RK Basissch St Nicolaas;5469PT;ERP;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;2;7;10;8;10;12;8;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20171001;1948;Meierijstad;5741;Laarbeek;06HU;00;RK Basissch St Nicolaas;5469PT;ERP;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1948;Meierijstad;1079;Amsterdam;06LT;00;Basissch De Ark;5463NR;VEGHEL;Noord-Brabant;Bo;Algemeen bijzonder;73712;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1948;Meierijstad;5461;Meierijstad;06LT;00;Basissch De Ark;5463NR;VEGHEL;Noord-Brabant;Bo;Algemeen bijzonder;73712;0;1;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1948;Meierijstad;5462;Meierijstad;06LT;00;Basissch De Ark;5463NR;VEGHEL;Noord-Brabant;Bo;Algemeen bijzonder;73712;0;4;2;5;0;4;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;1948;Meierijstad;5463;Meierijstad;06LT;00;Basissch De Ark;5463NR;VEGHEL;Noord-Brabant;Bo;Algemeen bijzonder;73712;0;25;29;29;21;35;27;22;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;206
20171001;1948;Meierijstad;5466;Meierijstad;06LT;00;Basissch De Ark;5463NR;VEGHEL;Noord-Brabant;Bo;Algemeen bijzonder;73712;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1948;Meierijstad;5467;Meierijstad;06LT;00;Basissch De Ark;5463NR;VEGHEL;Noord-Brabant;Bo;Algemeen bijzonder;73712;0;0;1;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;1948;Meierijstad;5462;Meierijstad;06MI;00;Bs De Vijfmaster;5463ET;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1948;Meierijstad;5463;Meierijstad;06MI;00;Bs De Vijfmaster;5463ET;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;19;22;13;21;18;21;16;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;149
20171001;1948;Meierijstad;5466;Meierijstad;06MI;00;Bs De Vijfmaster;5463ET;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1948;Meierijstad;5467;Meierijstad;06MI;00;Bs De Vijfmaster;5463ET;VEGHEL;Noord-Brabant;Bo;Rooms-Katholiek;73712;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
