PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1908;Menameradiel;8812;Franekeradeel;03SM;00;RK Basissch St Radbodus;9035ED;DRONRYP;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1908;Menameradiel;8814;Franekeradeel;03SM;00;RK Basissch St Radbodus;9035ED;DRONRYP;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1908;Menameradiel;8816;Menameradiel;03SM;00;RK Basissch St Radbodus;9035ED;DRONRYP;Friesland;Bo;Rooms-Katholiek;41000;0;2;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;1908;Menameradiel;8832;Littenseradiel;03SM;00;RK Basissch St Radbodus;9035ED;DRONRYP;Friesland;Bo;Rooms-Katholiek;41000;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1908;Menameradiel;8841;Littenseradiel;03SM;00;RK Basissch St Radbodus;9035ED;DRONRYP;Friesland;Bo;Rooms-Katholiek;41000;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1908;Menameradiel;9034;Menameradiel;03SM;00;RK Basissch St Radbodus;9035ED;DRONRYP;Friesland;Bo;Rooms-Katholiek;41000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1908;Menameradiel;9035;Menameradiel;03SM;00;RK Basissch St Radbodus;9035ED;DRONRYP;Friesland;Bo;Rooms-Katholiek;41000;0;15;8;18;14;11;15;13;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;108
20171001;1908;Menameradiel;8934;Leeuwarden;04JZ;00;Otto Clant Skoalle;9031XM;BOKSUM;Friesland;Bo;Algemeen bijzonder;41693;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1908;Menameradiel;9031;Menameradiel;04JZ;00;Otto Clant Skoalle;9031XM;BOKSUM;Friesland;Bo;Algemeen bijzonder;41693;0;5;1;2;6;3;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;1908;Menameradiel;8813;Franekeradeel;04KJ;00;Chr Basisschool It Anker;9035EB;DRONRYP;Friesland;Bo;Protestants-Christelijk;42656;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1908;Menameradiel;8816;Menameradiel;04KJ;00;Chr Basisschool It Anker;9035EB;DRONRYP;Friesland;Bo;Protestants-Christelijk;42656;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
