PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1987;Menterwolde;9512;Aa en Hunze;05QS;00;Sjaloomschool;9651BW;MEEDEN;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1987;Menterwolde;9644;Veendam;05QS;00;Sjaloomschool;9651BW;MEEDEN;Groningen;Bo;Protestants-Christelijk;41845;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1987;Menterwolde;9645;Veendam;05QS;00;Sjaloomschool;9651BW;MEEDEN;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1987;Menterwolde;9651;Menterwolde;05QS;00;Sjaloomschool;9651BW;MEEDEN;Groningen;Bo;Protestants-Christelijk;41845;0;11;2;12;9;11;9;4;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;68
20171001;1987;Menterwolde;9678;Oldambt;05QS;00;Sjaloomschool;9651BW;MEEDEN;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1987;Menterwolde;9681;Oldambt;05QS;00;Sjaloomschool;9651BW;MEEDEN;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1987;Menterwolde;9635;Menterwolde;05VK;00;Basisschool De Wegwijzer;9636AA;ZUIDBROEK;Groningen;Bo;Protestants-Christelijk;41845;0;0;1;0;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1987;Menterwolde;9636;Menterwolde;05VK;00;Basisschool De Wegwijzer;9636AA;ZUIDBROEK;Groningen;Bo;Protestants-Christelijk;41845;0;13;18;15;17;19;22;18;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;139
20171001;1987;Menterwolde;9649;Menterwolde;05VK;00;Basisschool De Wegwijzer;9636AA;ZUIDBROEK;Groningen;Bo;Protestants-Christelijk;41845;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1987;Menterwolde;9724;Groningen;05VK;00;Basisschool De Wegwijzer;9636AA;ZUIDBROEK;Groningen;Bo;Protestants-Christelijk;41845;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
