PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1842;Midden-Delfland;2691;Westland;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1842;Midden-Delfland;3039;Rotterdam;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1842;Midden-Delfland;3131;Vlaardingen;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1842;Midden-Delfland;3132;Vlaardingen;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1842;Midden-Delfland;3134;Vlaardingen;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1842;Midden-Delfland;3137;Vlaardingen;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1842;Midden-Delfland;3141;Maassluis;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;2;2;3;0;2;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;1842;Midden-Delfland;3142;Maassluis;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;1;2;1;4;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;1842;Midden-Delfland;3143;Maassluis;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1842;Midden-Delfland;3144;Maassluis;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1842;Midden-Delfland;3145;Maassluis;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1842;Midden-Delfland;3146;Maassluis;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1842;Midden-Delfland;3155;Midden-Delfland;03FH;00;De Schutse;3155BM;MAASLAND;Zuid-Holland;Bo;Openbaar;41455;0;7;7;4;7;5;9;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61
20171001;1842;Midden-Delfland;2286;Rijswijk;04HY;00;Het Galjoen;2635MK;DEN HOORN ZH;Zuid-Holland;Bo;Openbaar;41455;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1842;Midden-Delfland;2548;'s-Gravenhage;04HY;00;Het Galjoen;2635MK;DEN HOORN ZH;Zuid-Holland;Bo;Openbaar;41455;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1842;Midden-Delfland;2613;Delft;04HY;00;Het Galjoen;2635MK;DEN HOORN ZH;Zuid-Holland;Bo;Openbaar;41455;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1842;Midden-Delfland;2614;Delft;04HY;00;Het Galjoen;2635MK;DEN HOORN ZH;Zuid-Holland;Bo;Openbaar;41455;0;14;17;22;12;14;8;15;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;120
20171001;1842;Midden-Delfland;2622;Delft;04HY;00;Het Galjoen;2635MK;DEN HOORN ZH;Zuid-Holland;Bo;Openbaar;41455;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1842;Midden-Delfland;2624;Delft;04HY;00;Het Galjoen;2635MK;DEN HOORN ZH;Zuid-Holland;Bo;Openbaar;41455;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1842;Midden-Delfland;2625;Delft;04HY;00;Het Galjoen;2635MK;DEN HOORN ZH;Zuid-Holland;Bo;Openbaar;41455;0;2;1;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
