PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1731;Midden-Drenthe;7936;Hoogeveen;04TG;00;C.B.S. DRIJBER;9419TM;DRIJBER;Drenthe;Bo;Protestants-Christelijk;32073;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1731;Midden-Drenthe;7937;Midden-Drenthe;04TG;00;C.B.S. DRIJBER;9419TM;DRIJBER;Drenthe;Bo;Protestants-Christelijk;32073;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1731;Midden-Drenthe;9419;Midden-Drenthe;04TG;00;C.B.S. DRIJBER;9419TM;DRIJBER;Drenthe;Bo;Protestants-Christelijk;32073;0;3;3;5;3;5;3;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;1731;Midden-Drenthe;7991;Westerveld;05TN;00;Chr. Basisschool De Vaart;9423PR;HOOGERSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1731;Midden-Drenthe;8426;Ooststellingwerf;05TN;00;Chr. Basisschool De Vaart;9423PR;HOOGERSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1731;Midden-Drenthe;9411;Midden-Drenthe;05TN;00;Chr. Basisschool De Vaart;9423PR;HOOGERSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1731;Midden-Drenthe;9422;Midden-Drenthe;05TN;00;Chr. Basisschool De Vaart;9423PR;HOOGERSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;0;0;1;1;3;1;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;1731;Midden-Drenthe;9423;Midden-Drenthe;05TN;00;Chr. Basisschool De Vaart;9423PR;HOOGERSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;6;5;7;6;3;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
20171001;1731;Midden-Drenthe;9404;Assen;06HZ;00;C.B.S. De Wingerd;9421NP;BOVENSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1731;Midden-Drenthe;9405;Assen;06HZ;00;C.B.S. De Wingerd;9421NP;BOVENSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1731;Midden-Drenthe;9408;Assen;06HZ;00;C.B.S. De Wingerd;9421NP;BOVENSMILDE;Drenthe;Bo;Protestants-Christelijk;32073;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
