PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;815;Mill en Sint Hubert;5411;Landerd;03XX;00;Basisschool De LenS;5451JH;MILL;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;815;Mill en Sint Hubert;5432;Cuijk;03XX;00;Basisschool De LenS;5451JH;MILL;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;815;Mill en Sint Hubert;5451;Mill en Sint Hubert;03XX;00;Basisschool De LenS;5451JH;MILL;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;25;28;39;41;40;48;48;32;5;0;0;0;0;0;0;0;0;0;0;0;0;0;306
20171001;815;Mill en Sint Hubert;5455;Mill en Sint Hubert;03XX;00;Basisschool De LenS;5451JH;MILL;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;815;Mill en Sint Hubert;6596;Gennep;03XX;00;Basisschool De LenS;5451JH;MILL;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;815;Mill en Sint Hubert;5445;Sint Anthonis;05HZ;00;Basisschool De Klimop;5455GK;WILBERTOORD;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;0;0;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;815;Mill en Sint Hubert;5455;Mill en Sint Hubert;05HZ;00;Basisschool De Klimop;5455GK;WILBERTOORD;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;5;12;11;7;7;7;9;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;69
20171001;815;Mill en Sint Hubert;5364;Grave;06UL;00;Basisschool 't Stekske;5453JN;LANGENBOOM;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;815;Mill en Sint Hubert;5411;Landerd;06UL;00;Basisschool 't Stekske;5453JN;LANGENBOOM;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;0;0;0;0;2;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;815;Mill en Sint Hubert;5451;Mill en Sint Hubert;06UL;00;Basisschool 't Stekske;5453JN;LANGENBOOM;Noord-Brabant;Bo;Rooms-Katholiek;71749;0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
